priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
250,Thistle,/go/thistle/,US,prepared meals,"fresh ready-to-eat meals with plant and meat protein options, nutritionist-designed menus, and delivery",https://www.thistle.co/,affiliate application,Use for US premium healthy prepared-meal and high-protein pages,route_ready_affiliate_pending
251,THR1VE,/go/thr1ve/,Australia,prepared meals,Australian healthy prepared meal and performance food brand with ready-meal and fitness demand,https://thrivemeals.com.au/,direct partnership,Add to AU healthy prepared meal pages,route_ready_affiliate_pending
252,Tiny Organics,/go/tiny-organics/,US,baby and toddler meals,organic baby and toddler meals delivered to the door,https://www.tinyorganics.com/,direct partnership,Add to baby/toddler meal pages,route_ready_affiliate_pending
253,Top Chef Meals,/go/top-chef-meals/,US,frozen prepared meals,"chef-made frozen entrees with a la carte ordering, same-day shipping cutoff, and no-subscription prepared meal demand",https://topchefmeals.com/,affiliate application,"Add to frozen prepared meal, senior, and no-subscription pages",route_ready_affiliate_pending
254,Tovala,/go/tovala/,US,smart oven meal delivery,smart oven plus fresh meal delivery system with scan-to-cook weekly meals and low-prep dinner demand,https://www.tovala.com/,affiliate application,Add to appliance-assisted meal delivery and low-prep dinner pages,route_ready_affiliate_pending
255,Trifecta,/go/trifecta/,US,fitness prepared meals,performance-focused high-protein prepared meals with dietitian and chef-built plans,https://www.trifectanutrition.com/,affiliate application,Promote to US high-protein anchor and apply after domain is live,route_ready_affiliate_pending
256,Tucker Fresh,/go/tucker-fresh/,Australia,prepared meals,prepared meals,https://tuckerfresh.com.au/,possible,Verify direct meal delivery fit,route_ready_affiliate_pending
257,UCOOK,/go/ucook/,south-africa,meal kit,South Africa meal-kit provider delivering pre-portioned ingredients and recipes,https://ucook.co.za/,direct partnership,Lead South Africa meal-kit comparison and outreach,route_ready_affiliate_pending
258,ACTIVeat,/go/activeat/,india,diet prepared meals,"Mumbai healthy meal subscription brand with diet food delivery, daily changing menus, and nutrition support",https://activeat.in/,direct partnership,Add to India/Mumbai healthy diet meal pages,route_ready_affiliate_pending
259,Cheef,/go/cheef/,France,diet prepared meals,diet and balanced prepared meals,https://www.cheef.fr/,needs_research,Research affiliate or direct partner path after domain is live.,route_ready_affiliate_pending
260,Chefs Plate Market,/go/chefs-plate-market/,Canada,meal kit add-ons,brand variant candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
261,Clean Eats Canada,/go/clean-eats-canada/,Canada,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
262,Delicut,/go/delicut/,uae,prepared meals,UAE calorie-tracked chef-prepared meal plans delivered across the country,https://delicut.ae/,direct partnership,Use for UAE value and high-protein comparison angle,route_ready_affiliate_pending
263,Dinner Sorted,/go/dinner-sorted/,Australia,meal kit,family meal planning candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
264,Dinnerbox,/go/dinnerbox/,south-africa,meal kit,South African dinner kit and meal-box brand for easy home cooking,https://dinnerbox.co.za/,direct partnership,Add to South Africa meal-kit challenger pages,route_ready_affiliate_pending
265,DinnerMates,/go/dinnermates/,south-africa,meal kit,South African meal-kit and recipe-box delivery candidate for weekly dinner planning,https://dinnermates.co.za/,direct partnership,Verify checkout and add to South Africa meal-kit comparisons,route_ready_affiliate_pending
266,Dublin Meal Prep,/go/dublin-meal-prep/,Ireland,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
267,Eat Fit Food,/go/eat-fit-food/,Australia,prepared meals,healthy prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
268,Ekomenu,/go/ekomenu/,Netherlands,organic meal kit,"Dutch organic and sustainable meal-box brand with vegetarian, vegan, family, and diet recipe options",https://www.ekomenu.nl/,direct partnership,Add to Netherlands organic and vegan meal-kit pages,route_ready_affiliate_pending
269,Ethey,/go/ethey/,Canada,prepared meals,fresh cooked-to-order prepared meals shipped ready to heat in Canada,https://pgs.ethey.com/,direct partnership,Promote from candidate to Canada prepared meal pages,route_ready_affiliate_pending
270,Evertaste,/go/evertaste/,Germany,frozen meals,German frozen meal brand with ready dishes and convenience dinner relevance,https://www.evertaste.com/,direct partnership,Add to Germany frozen meal challenger pages,route_ready_affiliate_pending
271,every,/go/every/,germany,frozen plant-based meals,Plant-based frozen comfort-meal delivery with flexible subscription and ready-in-minutes meals,https://every-foods.com/en,direct partnership,"Add to vegan, frozen, and prepared-meal comparison sets",route_ready_affiliate_pending
272,Every Foods,/go/every-foods/,Germany; Netherlands,plant-based frozen meals,plant-based frozen prepared meals,https://every-foods.com/en,needs_research,Research country coverage and affiliate/direct partner path.,route_ready_affiliate_pending
273,Farmhouse Meals Ireland,/go/farmhouse-meals-ireland/,Ireland,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
274,Fed,/go/fed/,Canada; New Zealand,prepared meals,New Zealand ready-made meal delivery brand with prepared dinners and family convenience demand; prepared meals,https://www.fed.co.nz/,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
275,Fit Food Canada,/go/fit-food-canada/,Canada,prepared meals,fitness prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
276,Fit Food Dublin,/go/fit-food-dublin/,Ireland,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
277,Fit Food Perth,/go/fit-food-perth/,Australia,prepared meals,regional prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
278,Fit Meals Australia,/go/fit-meals-australia/,Australia,prepared meals,fitness meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
279,Fitfood,/go/fitfood/,New Zealand; new-zealand,prepared meals,"New Zealand ready-made healthy meals delivered nationwide with keto, weight management, and high-protein options; healthy ready-made meals",https://www.fitfood.co.nz/,needs_research,Research affiliate or direct partner contact.,route_ready_affiliate_pending
280,Crisp Weekbox,/go/crisp-weekbox/,Netherlands,meal kit,seasonal local weekbox,https://crisp.nl/weekbox,needs_research,Research affiliate or direct partner path after domain is live.,route_ready_affiliate_pending
281,FITT Meals,/go/fitt-meals/,UAE,diet prepared meals,"UAE chef-prepared meal-plan brand serving Dubai, Abu Dhabi, and UAE with weight-loss, flex, and vegetarian plans",https://fittmeals.ae/en,direct partnership,Add to UAE diet and prepared meal challenger pages,route_ready_affiliate_pending
282,Foober,/go/foober/,Australia,diet prepared meals,"Australian keto, weight-loss, and healthy prepared meal delivery brand",https://foober.com.au/,direct partnership,"Add to AU keto, weight-loss, and prepared-meal pages",route_ready_affiliate_pending
283,Food4Fitness Australia,/go/food4fitness-australia/,Australia,prepared meals,fitness meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
284,Foodhak,/go/foodhak/,UK,prepared meals,UK plant-powered prepared meal delivery brand with health and ready-meal demand,https://www.foodhak.com/,direct partnership,Add to UK plant-based prepared meal pages,route_ready_affiliate_pending
285,Foorban,/go/foorban/,italy,prepared meals,Italian fresh meal and workplace lunch solution with consumer prepared-meal relevance,https://www.foorban.com/,direct partnership,Add to Italy prepared-meal and lunch comparison sets,route_ready_affiliate_pending
286,Fresh City Farms Meal Kits,/go/fresh-city-farms-meal-kits/,Canada,meal kit,local grocery meal kits,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
287,Fresh in your Fridge,/go/fresh-in-your-fridge/,Canada,prepared meals,private meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
288,Fresh Meals 2 U,/go/fresh-meals-2-u/,Australia,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
289,Freshii Ireland Meal Boxes,/go/freshii-ireland-meal-boxes/,Ireland,prepared meals,prepared meals adjacent,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
290,Frosta,/go/frosta/,germany,frozen meals,German frozen meal and clean-label ready meal brand with grocery/freezer dinner demand,https://www.frosta.de/,direct partnership,Add to Germany frozen dinner comparison pages,route_ready_affiliate_pending
291,Fuel Meals Canada,/go/fuel-meals-canada/,Canada,prepared meals,fitness meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
292,Fuel-Up by Kcal,/go/fuel-up-by-kcal/,uae,high protein meal prep,UAE performance and fitness meal-plan brand from the Kcal ecosystem,https://fuel-up.ae/,direct partnership,Add to UAE athlete and high-protein comparison pages,route_ready_affiliate_pending
293,Galway Meal Prep,/go/galway-meal-prep/,Ireland,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
294,Gold Coast Meal Prep,/go/gold-coast-meal-prep/,Australia,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
295,Goodfood Ready-to-Eat,/go/goodfood-ready-to-eat/,Canada,prepared meals,Goodfood ready-to-eat and prepared meal variant for Canadian convenience searches,https://www.makegoodfood.ca/,affiliate application,Promote Canada prepared-meal variant with active product caveat,route_ready_affiliate_pending
296,Gourmet Dinner Service,/go/gourmet-dinner-service/,Australia,prepared meals,Australian chef-made prepared meal home delivery with large review volume and family dinner relevance,https://www.gourmetdinnerservice.com.au/,direct partnership,Promote from candidate to Australia prepared meal pages,route_ready_affiliate_pending
297,Haven's Kitchen,/go/haven-s-kitchen/,US,grocery dinner helper,sauces and dinner helpers that support fast grocery-dinner decision journeys,https://havenskitchen.com/,direct partnership,Account under grocery-dinner helper rather than full meal delivery,route_ready_affiliate_pending
298,Healthie,/go/healthie/,india,healthy meal delivery,India healthy meal and subscription delivery candidate for city-led prepared meal search demand,https://www.healthie.in/,direct partnership,Verify current delivery cities and add to India healthy meal pages,route_ready_affiliate_pending
299,Healthy Alternative Canada,/go/healthy-alternative-canada/,Canada,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
300,Healthy Meals Australia,/go/healthy-meals-australia/,Australia,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
301,Heart to Home Meals Alberta,/go/heart-to-home-meals-alberta/,Canada,frozen senior meals,Alberta senior frozen meal delivery variant from Heart to Home Meals,https://www.hearttohomemeals.ca/,direct partnership,Promote regional senior meal variant with delivery-area caveat,route_ready_affiliate_pending
302,Heart to Home Meals Ontario,/go/heart-to-home-meals-ontario/,Canada,frozen senior meals,Ontario senior frozen meal delivery variant from Heart to Home Meals,https://www.hearttohomemeals.ca/,direct partnership,Promote regional senior meal variant with delivery-area caveat,route_ready_affiliate_pending
303,HelloFresh Market Australia,/go/hellofresh-market-australia/,Australia,prepared add-ons,marketplace/add-on variant,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
304,HelloFresh Market Canada,/go/hellofresh-market-canada/,Canada,meal kit add-ons,brand variant candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
305,Inspired Go Alberta,/go/inspired-go-alberta/,Canada,ready-to-eat salads and bowls,regional Canadian fresh salad and prepared meal delivery variant for Alberta searches,https://inspiredgo.ca/,direct partnership,Promote regional variant with delivery-area caveat,route_ready_affiliate_pending
306,Kcal Healthy Food,/go/kcal-healthy-food/,india,diet prepared meals,India calorie-counted healthy meal delivery and diet food brand candidate,https://www.kcalindia.com/,direct partnership,Verify active ordering and add to India diet meal comparison,route_ready_affiliate_pending
307,Keto Eato,/go/keto-eato/,singapore,keto prepared meals,Singapore keto-approved halal meal plans and dishes with delivery threshold and meal-plan menu,https://ketoeatosg.com/,direct partnership,Add to Singapore keto and low-carb meal pages,route_ready_affiliate_pending
308,La Belle Vie,/go/la-belle-vie/,france,grocery dinner delivery,French online grocery and easy dinner delivery brand with fresh meal-planning relevance,https://www.labellevie.com/,affiliate application,Add to France grocery-dinner pages,route_ready_affiliate_pending
309,Löwenanteil,/go/l-wenanteil/,austria; germany; switzerland,high protein prepared meals,German organic high-protein shelf-stable fitness meal brand with Germany and wider Europe options; German-language high-protein prepared-meal brand with Austria shipping option; German-language high-protein prepared-meal brand with Switzerland shipping option,https://www.loewenanteil.com/,direct partnership,Add to high-protein prepared meal and fitness comparison sets,route_ready_affiliate_pending
310,Calorie Care,/go/calorie-care/,india,diet prepared meals,India diet meal delivery brand with historical Mumbai subscription demand,https://caloriecare.com/,direct partnership after active check,Verify active status before recommendation,route_ready_affiliate_pending
311,FieldGoods,/go/fieldgoods/,UK,prepared meals,UK chef-made frozen meals and Potage alternative with prepared meals delivered to the door,https://fieldgoods.co.uk/,direct partnership,Add to UK frozen prepared meal and Potage-alternative pages,route_ready_affiliate_pending
312,Frozen Food Factory,/go/frozen-food-factory/,south-africa,frozen meals,South African frozen ready-meal brand for easy family dinners,https://frozenfoodfactory.co.za/,direct partnership,Add to South Africa frozen prepared-meal challenger set,route_ready_affiliate_pending
313,Healthfull,/go/healthfull/,singapore,keto prepared meals,Singapore keto meals and meal packages with delivery threshold and healthy keto positioning,https://healthfull.sg/,direct partnership,Add to Singapore keto meal challenger pages,route_ready_affiliate_pending
314,Heart to Home Meals,/go/heart-to-home-meals/,Canada,frozen senior meals,Canadian frozen prepared meal delivery brand for seniors and home convenience,https://www.hearttohomemeals.ca/,direct partnership,Add to Canada senior and frozen meal pages,route_ready_affiliate_pending
315,Hello Chef,/go/hello-chef/,UAE,meal kit,UAE meal-kit brand delivering pre-portioned ingredients and recipes across the country,https://hellochef.me/,direct partnership,Add to UAE meal-kit and easy dinner comparison pages,route_ready_affiliate_pending
316,HomeCooks,/go/homecooks/,UK,prepared meals,"UK marketplace for chef-made ready meals from independent cooks, delivered frozen for easy home dinners",https://home-cooks.co.uk/,direct partnership,Add to UK marketplace and independent chef prepared-meal pages,route_ready_affiliate_pending
317,Jamie's Angels,/go/jamie-s-angels/,New Zealand,prepared meals,local senior-focused prepared meals,https://www.jamiesangels.co.nz/,needs_research,Treat as local/specialist listing; verify region coverage before broad rankings.,route_ready_affiliate_pending
318,Jenny Craig Australia,/go/jenny-craig-australia/,Australia,diet meals,verify active/inactive status,,no,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
319,Jess' Underground Kitchen,/go/jess-underground-kitchen/,New Zealand,prepared meals,New Zealand prepared meal delivery brand with frozen/fresh meal convenience and local demand,https://www.juk.co.nz/,direct partnership,Add to New Zealand prepared meal challenger pages,route_ready_affiliate_pending
320,Jess's Underground Kitchen,/go/jess-s-underground-kitchen/,New Zealand,frozen prepared meals,"New Zealand premium ready-to-eat frozen meals, care packages, and gift hampers with nationwide delivery evidence",https://www.juk.co.nz/,direct partnership,Add to New Zealand frozen prepared meal anchor pages,route_ready_affiliate_pending
321,Juit,/go/juit/,Germany,frozen prepared meals,German frozen ready-meal delivery brand with healthy heat-and-eat meals and no-subscription positioning,https://www.juit.com/en,direct partnership,Add to Germany frozen prepared meal and healthy ready-meal pages,route_ready_affiliate_pending
322,Ketomei,/go/ketomei/,singapore,keto prepared meals,Singapore keto and low-carb meal-plan brand with chef-prepared meals and subscription demand,https://www.facebook.com/KetomeiSG/,direct partnership after active checkout check,Account for keto meal search demand and verify current checkout,route_ready_affiliate_pending
323,Les Commis,/go/les-commis/,France,meal kit,French recipe basket,https://lescommis.com/,needs_research,Research affiliate or direct partner path after domain is live.,route_ready_affiliate_pending
324,Loewenanteil,/go/loewenanteil/,Germany,fitness prepared meals,organic high-protein ready meals,https://www.loewenanteil.com/en-eu,needs_research,Research DTC partner path and local German wording before page polishing.,route_ready_affiliate_pending
325,Macro Meals Australia,/go/macro-meals-australia/,Australia,prepared meals,macro meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
326,Macro Meals Canada,/go/macro-meals-canada/,Canada,prepared meals,macro meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
327,Macro Meals Ireland,/go/macro-meals-ireland/,Ireland,prepared meals,macro meal candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
328,Maczfit,/go/maczfit/,Poland,diet prepared meals,Polish boxed diet and meal catering leader with app ordering and broad diet-plan demand,https://play.google.com/store/apps/details?id=com.maczfit.app2,direct partnership after web route check,Add to Poland diet catering and boxed meal pages,route_ready_affiliate_pending
329,Marley Spoon Market Australia,/go/marley-spoon-market-australia/,Australia,prepared add-ons,marketplace/add-on variant,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
330,Meal Machine,/go/meal-machine/,Australia,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
331,Meal Prep Calgary,/go/meal-prep-calgary/,Canada,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
332,Meal Prep Edmonton,/go/meal-prep-edmonton/,Canada,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
333,Meal Prep Montreal,/go/meal-prep-montreal/,Canada,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
334,Meal Prep Ottawa,/go/meal-prep-ottawa/,Canada,prepared meals,Ottawa regional meal prep delivery brand with local high-protein prepared meal demand,https://mealpreottawa.com/,direct partnership,Add as regional Canada meal prep candidate,route_ready_affiliate_pending
335,Meal Prep Toronto,/go/meal-prep-toronto/,Canada,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
336,Meal Prep Vancouver,/go/meal-prep-vancouver/,Canada,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
337,MealFix Canada,/go/mealfix-canada/,Canada,prepared meals,Canadian ready-to-eat meal delivery candidate for prepared meals and convenience demand,https://www.mealfixcanada.com/,direct partnership,Add to Canada prepared meal challenger pages,route_ready_affiliate_pending
338,MealPro Canada,/go/mealpro-canada/,Canada,prepared meals,Canadian prepared meal and meal-prep delivery candidate,https://mealpro.ca/,direct partnership,Add to Canada prepared meal challenger pages,route_ready_affiliate_pending
339,Meals on Wheels Australia,/go/meals-on-wheels-australia/,Australia,prepared meals,nonprofit/senior meal delivery adjacent,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
340,Meels,/go/meels/,Canada,prepared meals,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
341,Melbourne Meal Prep,/go/melbourne-meal-prep/,Australia,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
342,MissFresh,/go/missfresh/,Canada,meal kit,Canadian meal-kit brand with historical demand and inactive/watchlist status,https://www.missfresh.com/,not ready,Use for alternatives intent only until active ordering is proven,route_ready_affiliate_pending
343,Montreal Meal Prep,/go/montreal-meal-prep/,Canada,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
344,Muscle Meals Direct,/go/muscle-meals-direct/,Australia,high protein meal prep,Australian performance meal prep delivery brand with high-protein and macro demand,https://musclemealsdirect.com.au/,direct partnership,Add to AU fitness prepared meal challenger pages,route_ready_affiliate_pending
345,My Food Bag,/go/my-food-bag/,New Zealand; new-zealand,meal kit; meal kit and prepared meals,"New Zealand meal-kit brand with weekly recipe choices, locally sourced ingredients, and ready-made range; major national meal kit and ready-made option",https://www.myfoodbag.co.nz/,needs_research,Research affiliate or direct partner path after domain is live.,route_ready_affiliate_pending
346,My Foodie Box,/go/my-foodie-box/,Australia,meal kit,meal kits,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
347,My Muscle Chef Everyday,/go/my-muscle-chef-everyday/,Australia,prepared meals,brand variant candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
348,My Prep Australia,/go/my-prep-australia/,Australia,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
349,Nutribees,/go/nutribees/,italy,prepared meals,Ready healthy dishes delivered refrigerated throughout Italy,https://www.nutribees.com/,direct partnership,Create Italy prepared-meals review and partnership target,route_ready_affiliate_pending
350,Nutrition Station Meals,/go/nutrition-station-meals/,Australia,prepared meals,fitness prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
351,Perth Meal Prep,/go/perth-meal-prep/,Australia,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
352,Plant Based Meals Australia,/go/plant-based-meals-australia/,Australia,plant-based prepared meals,vegan meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
353,Plant Prepped,/go/plant-prepped/,Canada,plant-based meal kit,Canadian plant-based meal-kit brand for vegan and vegetarian dinner planning,https://plantprepped.com/,direct partnership,Add to Canada vegan and plant-based meal-kit pages,route_ready_affiliate_pending
354,Power Kitchen Canada Toronto,/go/power-kitchen-canada-toronto/,Canada,high protein meal prep,Toronto macro-balanced prepared meal and fitness meal-prep variant from Power Kitchen,https://powerkitchen.ca/,direct partnership,Promote regional variant with delivery-area caveat,route_ready_affiliate_pending
355,Power Plate Canada,/go/power-plate-canada/,Canada,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
356,Prep House Australia,/go/prep-house-australia/,Australia,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
357,Prepd Canada,/go/prepd-canada/,Canada,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
358,Right Bite,/go/right-bite/,uae,prepared meals,"UAE meal-plan brand with dietitian-designed fresh meals across Dubai, Abu Dhabi, and Sharjah",https://rightbite.com/,direct partnership,Lead UAE prepared-meal comparison and partner outreach,route_ready_affiliate_pending
359,Weekly Food,/go/weekly-food/,switzerland,prepared meals,Swiss ready-to-eat weekly meals cooked by chefs and delivered throughout Switzerland,https://weekly-food.ch/en/,direct partnership,Lead prepared-meals comparison and direct partnership outreach,route_ready_affiliate_pending
360,Wetaca,/go/wetaca/,spain,prepared meals,Spain prepared-meal leader for fresh heat-and-eat weekly meals,https://wetaca.com/,direct partnership,"Manual content check, then create Wetaca review and Spain comparison placement",route_ready_affiliate_pending
361,Allcook Kitchen,/go/allcook-kitchen/,switzerland,prepared meals,Artisanal ready-meal delivery across Switzerland and Liechtenstein,https://allcook.ch/,direct partnership,Add to Switzerland prepared-meals shortlist,route_ready_affiliate_pending
362,AMGD,/go/amgd/,singapore,healthy meal delivery,Singapore healthy meal credits and meal-plan delivery brand,https://www.amgdglobal.com/en-sg,direct partnership,Add to Singapore halal and flexible meal-credit cluster,route_ready_affiliate_pending
363,Daily Dish,/go/daily-dish/,south-africa,meal kit,South African dinner-kit brand with weekly pre-portioned dinner boxes,https://www.facebook.com/dailydishforyou/,direct partnership,Account for South Africa meal-kit search demand and verify current official site,route_ready_affiliate_pending
364,DinDins,/go/dindins/,spain,prepared meals,Fresh and frozen chef-cooked prepared meals delivered in Spain,https://dindins.es/,direct partnership,Build Spain prepared-meals comparison block,route_ready_affiliate_pending
365,Eatology,/go/eatology/,hong-kong,prepared meals,Hong Kong bespoke healthy meal-plan brand with diet-specific plans,https://www.eatologyasia.com/,direct partnership,Verify official content and add premium comparison angle,route_ready_affiliate_pending
366,Eatsana,/go/eatsana/,spain,prepared meals,Healthy ready-to-eat meals delivered across Spain,https://eatsana.es/en,direct partnership,Build prepared-meals review angle and partnership outreach,route_ready_affiliate_pending
367,Fitmeals,/go/fitmeals/,india,meal prep,"India meal-plan subscription brand for weight loss, healthy eating, and muscle-building goals",https://www.fitmeals.co.in/,direct partnership,Add to India fitness meal-plan comparison,route_ready_affiliate_pending
368,Fittery,/go/fittery/,hong-kong,prepared meals,Hong Kong flexible high-protein meal-plan provider with broad menu choice,https://www.instagram.com/fitteryhk/,direct partnership,Find official web ordering route and add to Hong Kong challenger list,route_ready_affiliate_pending
369,FuelMe,/go/fuelme/,finland,prepared meals,Helsinki ready-meal delivery service for busy consumers,https://fuelme.fi/,direct partnership,Add to Finland prepared-meals shortlist,route_ready_affiliate_pending
370,Mealhero,/go/mealhero/,netherlands,frozen prepared meals,Netherlands frozen prepared meal and smart-steamer meal delivery brand,https://www.mealhero.com/nl/,direct partnership,Add to Netherlands frozen prepared-meal pages,route_ready_affiliate_pending
371,Meals on Me,/go/meals-on-me/,uae,prepared meals,UAE calorie-controlled fresh meal plans with lunch and dinner delivery,https://hellomealsonme.com/,direct partnership,Add to UAE prepared-meal outreach queue,route_ready_affiliate_pending
372,merciChef,/go/mercichef/,switzerland,prepared meals,Swiss ready-to-eat meal delivery with weekly menu and chef-crafted meals,https://mercichef.ch/en,direct partnership,Add to Switzerland prepared-meals shortlist,route_ready_affiliate_pending
373,Mi Piace Cosi,/go/mi-piace-cosi/,italy,diet prepared meals,Diet-program prepared meals delivered in Italy,https://mipiacecosi.it/,direct partnership,Position in weight-loss and diet meal-plan comparison,route_ready_affiliate_pending
374,prepmymeal,/go/prepmymeal/,Germany; austria; switzerland,fitness prepared meals; high protein prepared meals,DACH ready-made high-protein meals for fitness and convenience shoppers; High-protein ready-made meals delivered in Switzerland; high-protein ready meals,https://prepmymeal.com/?lang=en,needs_research,Research affiliate or direct partnership contact.,route_ready_affiliate_pending
375,Protein Chefs Toronto,/go/protein-chefs-toronto/,Canada,prepared meals,regional fitness meal prep variant,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
376,Protein Prep Ireland,/go/protein-prep-ireland/,Ireland,prepared meals,fitness meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
377,Quitoque,/go/quitoque/,France,meal kit,French meal kit leader,https://www.quitoque.fr/,needs_research,Research affiliate or direct partner path after domain is live.,route_ready_affiliate_pending
378,Ready Chef Ireland,/go/ready-chef-ireland/,Ireland,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
379,Revive Superfoods Canada,/go/revive-superfoods-canada/,Canada,smoothies and prepared foods,Canada smoothie and bowl delivery subscription with chef-crafted nutritionally balanced products,https://revivesuperfoods.com/,affiliate application,Promote Canada variant with checkout caveat,route_ready_affiliate_pending
