brand,review_url,tracked_go_url,countries,categories,official_urls,monetization_path,priority_score,status,next_action
Deep Indian Kitchen,/reviews/deep-indian-kitchen/,/go/deep-indian-kitchen/,US,frozen prepared meals,https://deepindiankitchen.com/,direct partnership outreach,55,active,Add to Indian frozen dinner and quick lunch pages
Delidoor,/reviews/delidoor/,/go/delidoor/,Australia,frozen prepared meals,https://delidoor.com.au/,direct partnership outreach,55,active,Add to AU frozen prepared meal pages
Delimas,/reviews/delimas/,/go/delimas/,Peru,prepared meals,https://delimas.pe/,direct partnership outreach,55,active_region_check,Add to Peru prepared meal alternatives with district caveat
Detox Kitchen,/reviews/detox-kitchen/,/go/detox-kitchen/,UK,prepared meals,https://detoxkitchen.co.uk/,direct partnership outreach,55,active,Add to wellness and healthy prepared-meal comparisons
Diced Meal Prep,/reviews/diced-meal-prep/,/go/diced-meal-prep/,UK,high protein meal prep,https://dicedmealprep.co.uk/,direct partnership outreach,55,active,Add to UK high-protein meal-prep challenger pages
Diet Care,/reviews/diet-care/,/go/diet-care/,Kuwait,diet prepared meals,https://www.dietcare.com.kw/,direct partnership outreach,55,active,Add to Kuwait diet prepared meal pages
Diet Care Kuwait,/reviews/diet-care-kuwait/,/go/diet-care-kuwait/,Kuwait,diet prepared meals,https://www.dietcaredelivery.com/,direct partnership outreach,55,active,Add to Kuwait healthy prepared meal pages
Diet Delights Qatar,/reviews/diet-delights-qatar/,/go/diet-delights-qatar/,Qatar,diet prepared meals,https://www.dietdelights.com/,direct partnership outreach,55,active_region_check,Add with local active-route caveat
Diet-to-Go,/reviews/diet-to-go/,/go/diet-to-go/,US,diet prepared meals,https://www.diettogo.com/,direct partnership outreach,55,active,Add to US diet meal delivery and weight-loss comparisons
Dietlicious,/reviews/dietlicious/,/go/dietlicious/,Australia,diet prepared meals,https://dietlicious.com.au/,direct partnership outreach,55,active,Add to AU diet prepared-meal pages
Dietmonsta,/reviews/dietmonsta/,/go/dietmonsta/,Malaysia,diet prepared meals,https://dietmonsta.com/,direct partnership outreach,55,active_region_check,Add to Malaysia diet meal challenger pages
Dineamic,/reviews/dineamic/,/go/dineamic/,Australia,prepared meals,https://www.dineamic.com.au/,direct partnership outreach,55,active,Add to AU family and prepared-meal comparisons
DropChef,/reviews/dropchef/,/go/dropchef/,Ireland,meal kit and prepared meals,https://dropchef.com/,direct partnership outreach,55,active,Promote to Ireland meal-kit and prepared meal pages
Easy Meals Japan,/reviews/easy-meals-japan/,/go/easy-meals-japan/,Japan,prepared meals,https://www.easymealsjapan.com/,direct partnership outreach,55,active,Add to Japan English-friendly prepared meal pages
EasyEats Estonia,/reviews/easyeats-estonia/,/go/easyeats-estonia/,Estonia,high protein meal prep,https://www.easyeats.ee/,direct partnership outreach,55,active_region_check,Add to Estonia high-protein meal-prep pages
Eat Clean Bro,/reviews/eat-clean-bro/,/go/eat-clean-bro/,US,prepared meals,https://eatcleanbro.com/,direct partnership outreach,55,active,"Verify exact delivery footprint, then add to high-protein comparisons"
Eat Clean ME,/reviews/eat-clean-me/,/go/eat-clean-me/,UAE,diet prepared meals,https://eatcleanme.com/,direct partnership outreach,55,active,Add to UAE diet-specific meal-plan pages
Eat Fit Mexico,/reviews/eat-fit-mexico/,/go/eat-fit-mexico/,Mexico,prepared meals,https://eatfit.com.mx/,direct partnership outreach,55,active,Add to Mexico prepared meal challenger pages
Ekomenu,/reviews/ekomenu/,/go/ekomenu/,Netherlands,organic meal kit,https://www.ekomenu.nl/,direct partnership outreach,55,active,Add to Netherlands organic and vegan meal-kit pages
Ethey,/reviews/ethey/,/go/ethey/,Canada,prepared meals,https://pgs.ethey.com/,direct partnership outreach,55,active,Promote from candidate to Canada prepared meal pages
Ever Gourmet,/reviews/ever-gourmet/,/go/ever-gourmet/,Canada,prepared meals,https://evergourmet.ca/,direct partnership outreach,55,active_region_check,Add to Canada prepared meal challenger pages with regional caveat
Evertaste,/reviews/evertaste/,/go/evertaste/,Germany,frozen meals,https://www.evertaste.com/,direct partnership outreach,55,active,Add to Germany frozen meal challenger pages
Every Foods,/reviews/every-foods/,/go/every-foods/,Germany | Netherlands,plant-based frozen meals,https://every-foods.com/en | https://every-foods.nl/en,direct partnership outreach,55,active,Research country coverage and affiliate/direct partner path.
FamilyChef Cyprus,/reviews/familychef-cyprus/,/go/familychef-cyprus/,Cyprus,diet prepared meals,https://familychef.com.cy/,direct partnership outreach,55,active_region_check,Add to Cyprus diet program pages
Farm to Fit,/reviews/farm-to-fit/,/go/farm-to-fit/,US,prepared meals,https://www.farmtofit.com/,direct partnership outreach,55,active_region_check,Add to US regional calorie-controlled meal pages
Farmy,/reviews/farmy/,/go/farmy/,Switzerland,grocery dinner delivery,https://www.farmy.ch/,direct partnership outreach,55,active,Add to Switzerland grocery-dinner pages
Fed Fed Fed,/reviews/fed-fed-fed/,/go/fed-fed-fed/,Canada,prepared meals,https://www.fedfedfed.com/,direct partnership outreach,55,active,Add to Canada nutrition-focused prepared meal pages
FED New Zealand,/reviews/fed-new-zealand/,/go/fed-new-zealand/,New Zealand,frozen prepared meals,https://www.getfed.co.nz/,direct partnership outreach,55,active,Add to New Zealand frozen ready-meal and family dinner pages
Field Doctor,/reviews/field-doctor/,/go/field-doctor/,UK,frozen diet prepared meals,https://www.fielddoctor.co.uk/,direct partnership outreach,55,active,"Add to UK diet, frozen, and health-specific meal pages"
FieldGoods,/reviews/fieldgoods/,/go/fieldgoods/,UK,prepared meals,https://fieldgoods.co.uk/,direct partnership outreach,55,active,Add to UK frozen prepared meal and Potage-alternative pages
Fit Apetit,/reviews/fit-apetit/,/go/fit-apetit/,Poland,diet prepared meals,https://www.fitapetit.com.pl/,direct partnership outreach,55,active,Add to Poland diet catering challenger pages
Fit Food Always,/reviews/fit-food-always/,/go/fit-food-always/,Thailand,high protein meal prep,https://fitfoodalways.com/,direct partnership outreach,55,active_region_check,Add to Thailand high-protein meal-prep pages
FIT FOOD HOME,/reviews/fit-food-home/,/go/fit-food-home/,Japan,frozen prepared meals,https://store.tavenal.com/,direct partnership outreach,55,active,Add to Japan frozen prepared meal pages
Fit Food Mexico,/reviews/fit-food-mexico/,/go/fit-food-mexico/,Mexico,healthy meal delivery,https://fitfood.mx/,direct partnership outreach,55,active,Add to Mexico healthy prepared meal challenger pages
Fit Kitchen Canada,/reviews/fit-kitchen-canada/,/go/fit-kitchen-canada/,Canada,prepared meals,https://fitkitchen.ca/,direct partnership outreach,55,active,Promote to Canada prepared and fitness meal pages
Fit Kitchen PH,/reviews/fit-kitchen-ph/,/go/fit-kitchen-ph/,Philippines,high protein meal prep,https://www.fitkitchenph.com/,direct partnership outreach,55,active_region_check,Add to Philippines fitness meal-prep pages with route caveat
fit-flavors,/reviews/fit-flavors/,/go/fit-flavors/,US,prepared meals,https://fit-flavors.com/,direct partnership outreach,55,active_region_check,Add to US regional prepared meal alternatives
FitFoodz South Africa,/reviews/fitfoodz-south-africa/,/go/fitfoodz-south-africa/,South Africa,diet prepared meals,https://fitfoodz.co.za/,direct partnership outreach,55,active,Add to South Africa weight-loss and macro prepared-meal pages
FitKitchen Czech Republic,/reviews/fitkitchen-czech-republic/,/go/fitkitchen-czech-republic/,Czech Republic,diet prepared meals,https://fitkitchen.cz/,direct partnership outreach,55,active_region_check,Add to Czech local boxed diet alternatives
Fitlife Foods,/reviews/fitlife-foods/,/go/fitlife-foods/,US,prepared meals,https://eatfitlifefoods.com/,direct partnership outreach,55,active_region_check,Promote from candidate with regional availability caveat
Fitmeal Thailand,/reviews/fitmeal-thailand/,/go/fitmeal-thailand/,Thailand,high protein meal prep,https://fitmeal.me/,direct partnership outreach,55,active_region_check,Add to Thailand high-protein meal-prep pages
Fitmeals India,/reviews/fitmeals-india/,/go/fitmeals-india/,India,diet prepared meals,https://www.fitmeals.co.in/,direct partnership outreach,55,active_region_check,Add to India regional diet prepared meal pages
FITT Meals,/reviews/fitt-meals/,/go/fitt-meals/,UAE,diet prepared meals,https://fittmeals.ae/en,direct partnership outreach,55,active,Add to UAE diet and prepared meal challenger pages
FitThree,/reviews/fitthree/,/go/fitthree/,singapore,meal prep,https://fitthree.com/,direct partnership outreach,55,active,Add to fitness-focused Singapore shortlist
Foober,/reviews/foober/,/go/foober/,Australia,diet prepared meals,https://foober.com.au/,direct partnership outreach,55,active,"Add to AU keto, weight-loss, and prepared-meal pages"
FoodChéri,/reviews/foodcheri/,/go/foodcheri/,France,prepared meals,https://www.foodcheri.com/,direct partnership outreach,55,active_b2b_consumer_mixed,Account for France prepared-meal demand with B2B/consumer caveat
FoodCourt,/reviews/foodcourt/,/go/foodcourt/,Nigeria,prepared meals marketplace,https://www.foodcourtapp.com/,direct partnership outreach,55,active_app_route,Add to Nigeria app-led prepared meal marketplace pages
Foodette,/reviews/foodette/,/go/foodette/,France,meal kit,https://www.foodette.fr/,direct partnership outreach,55,active,Add to France meal-kit challenger pages
Foodhak,/reviews/foodhak/,/go/foodhak/,UK,prepared meals,https://www.foodhak.com/,direct partnership outreach,55,active,Add to UK plant-based prepared meal pages
FoodKit,/reviews/foodkit/,/go/foodkit/,Romania,diet prepared meals,https://foodkit.ro/,direct partnership outreach,55,active_region_check,Add to Romania meal prep challenger pages
Foodmaker,/reviews/foodmaker/,/go/foodmaker/,Belgium,prepared meals,https://www.foodmaker.be/,direct partnership outreach,55,active,Add to Belgium healthy prepared-meal pages
Foody Colombia,/reviews/foody-colombia/,/go/foody-colombia/,Colombia,prepared meals,https://www.foody.com.co/,direct partnership outreach,55,active_region_check,Add to Colombia prepared meal pages with Bogota caveat
Fratelli Desideri,/reviews/fratelli-desideri/,/go/fratelli-desideri/,italy,premium meal kit,https://fratellidesideri.com/,direct partnership outreach,55,active,Add to premium and giftable meal-kit cluster
Fresh Meal Plan,/reviews/fresh-meal-plan/,/go/fresh-meal-plan/,US,prepared meals,https://freshmealplan.com/,direct partnership outreach,55,active,Add to US fresh prepared meal challenger pages
Fresh n' Fit Cuisine,/reviews/fresh-n-fit-cuisine/,/go/fresh-n-fit-cuisine/,US,prepared meals,https://www.freshnfitcuisine.com/,direct partnership outreach,55,active_region_check,Add to Atlanta and Southeast prepared-meal pages
Fresh Prep,/reviews/fresh-prep/,/go/fresh-prep/,Canada,meal kit and prepared meals,https://www.freshprep.ca/,direct partnership outreach,55,active,Promote to Canada meal-kit and prepared-meal comparisons
Freshkitchen Meals,/reviews/freshkitchen-meals/,/go/freshkitchen-meals/,singapore,prepared meals,https://freshkitchenmeals.sg/,direct partnership outreach,55,active,Add to Singapore daily fresh meal-plan cluster
Frive,/reviews/frive/,/go/frive/,UK,prepared meals,https://www.frive.co.uk/,direct partnership outreach,55,active,Add as UK premium prepared-meal anchor
Front Porch Pantry,/reviews/front-porch-pantry/,/go/front-porch-pantry/,US,prepared meals,https://frontporchpantry.com/,direct partnership outreach,55,active_region_check,Add to South/Central US prepared-meal and family dinner pages
Frozen Food Factory,/reviews/frozen-food-factory/,/go/frozen-food-factory/,south-africa,frozen meals,https://frozenfoodfactory.co.za/,direct partnership outreach,55,active,Add to South Africa frozen prepared-meal challenger set
Fuel Meals,/reviews/fuel-meals/,/go/fuel-meals/,US,high protein meal prep,https://www.fuelmeals.com/,direct partnership outreach,55,active,Add to athlete and high-protein comparison sets
Garden of Vegan,/reviews/garden-of-vegan/,/go/garden-of-vegan/,Australia,plant-based prepared meals,https://gardenofvegan.com.au/,direct partnership outreach,55,active,Add to AU vegan prepared meal pages
Gardencup,/reviews/gardencup/,/go/gardencup/,US,ready-to-eat salads and bowls,https://gardencup.com/,direct partnership outreach,55,active,"Add to ready-to-eat salad, lunch, and healthy prepared meal pages"
Go Natural,/reviews/go-natural/,/go/go-natural/,Portugal,prepared meals,https://www.gonatural.pt/,direct partnership outreach,55,active,Add to Portugal healthy prepared meal pages
Gobble,/reviews/gobble/,/go/gobble/,US,fast-prep meal kit,https://www.gobble.com/,direct partnership outreach,55,active,Promote to US fast-prep meal-kit anchor and compare against Home Chef and Blue Apron
GoClean Malaysia,/reviews/goclean-malaysia/,/go/goclean-malaysia/,Malaysia,diet prepared meals,https://goclean.oddle.me/en_MY,direct partnership outreach,55,active_region_check,Add to KL/PJ healthy meal delivery alternatives
Gourmet Dinner Service,/reviews/gourmet-dinner-service/,/go/gourmet-dinner-service/,Australia,prepared meals,https://www.gourmetdinnerservice.com.au/,direct partnership outreach,55,active,Promote from candidate to Australia prepared meal pages
Green Dinner Table,/reviews/green-dinner-table/,/go/green-dinner-table/,New Zealand,plant-based meal kit,https://www.greendinnertable.co.nz/,direct partnership outreach,55,active,Add to New Zealand vegan meal-kit pages
GREEN SPOON Japan,/reviews/green-spoon-japan/,/go/green-spoon-japan/,Japan,frozen prepared meals,https://greenspoon.co.jp/,direct partnership outreach,55,active,Add as Japan vegetable frozen meal anchor
Green Table,/reviews/green-table/,/go/green-table/,Brazil,prepared meals,https://greentable.com.br/,direct partnership outreach,55,active,Add to Brazil prepared meal challenger pages
Grubby,/reviews/grubby/,/go/grubby/,UK,vegan meal kit,https://grubby.co.uk/,direct partnership outreach,55,active,Add to UK vegan meal-kit comparisons
Healthfull,/reviews/healthfull/,/go/healthfull/,singapore,keto prepared meals,https://healthfull.sg/,direct partnership outreach,55,active,Add to Singapore keto meal challenger pages
Healthy Box Mexico,/reviews/healthy-box-mexico/,/go/healthy-box-mexico/,Mexico,prepared meals,https://healthybox.mx/,direct partnership outreach,55,active_region_check,Add to Mexico regional healthy meal pages
Healthy Choice,/reviews/healthy-choice/,/go/healthy-choice/,US,diet frozen meals,https://www.healthychoice.com/,direct partnership outreach,55,active,Add to healthy frozen meal and high-protein bowl pages
Healthy Meals Direct,/reviews/healthy-meals-direct/,/go/healthy-meals-direct/,US,prepared meals,https://healthymealsdirect.com/,direct partnership outreach,55,active,Add to Long Island and nationwide prepared-meal alternatives
Healthy Tasty Thailand,/reviews/healthy-tasty-thailand/,/go/healthy-tasty-thailand/,Thailand,diet prepared meals,https://www.healthytastyclubbyht.com/,direct partnership outreach,55,active_region_check,Add to Thailand diet prepared-meal alternatives
Heart to Home Meals Alberta,/reviews/heart-to-home-meals-alberta/,/go/heart-to-home-meals-alberta/,Canada,frozen senior meals,https://www.hearttohomemeals.ca/,direct partnership outreach,55,active_region_check,Promote regional senior meal variant with delivery-area caveat
Heart to Home Meals Ontario,/reviews/heart-to-home-meals-ontario/,/go/heart-to-home-meals-ontario/,Canada,frozen senior meals,https://www.hearttohomemeals.ca/,direct partnership outreach,55,active_region_check,Promote regional senior meal variant with delivery-area caveat
Heodak,/reviews/heodak/,/go/heodak/,South Korea,high protein prepared meals,https://www.heodak.com/,direct partnership outreach,55,active,Add to Korea high-protein and diet meal pages
Hofmanns,/reviews/hofmanns/,/go/hofmanns/,Germany,frozen prepared meals,https://www.hofmanns.de/,direct partnership outreach,55,active,Add to Germany frozen prepared-meal challenger pages
HomeCooks,/reviews/homecooks/,/go/homecooks/,UK,prepared meals,https://home-cooks.co.uk/,direct partnership outreach,55,active,Add to UK marketplace and independent chef prepared-meal pages
Homey Malaysia,/reviews/homey-malaysia/,/go/homey-malaysia/,Malaysia,prepared meals,https://homey.com.my/,direct partnership outreach,55,active_region_check,Add to Malaysia prepared meal challenger pages with route caveat
Honey Bee Meals,/reviews/honey-bee-meals/,/go/honey-bee-meals/,Canada,prepared meals,https://honeybeemeals.com/,direct partnership outreach,55,active_region_check,Add to Toronto prepared-meal alternatives
Huel,/reviews/huel/,/go/huel/,Global,complete nutrition meal replacement,https://huel.com/,direct partnership outreach,55,active,Add to complete-nutrition and no-cook meal replacement pages without positioning as cooked dinner delivery
Huel Hot & Savory,/reviews/huel-hot-and-savory/,/go/huel-hot-and-savory/,US,shelf-stable meals,https://huel.com/collections/huel-hot-and-savory,direct partnership outreach,55,active,Add as Huel sub-brand/variant for hot meal replacement searches
Hummus Fit,/reviews/hummus-fit/,/go/hummus-fit/,US,high protein meal prep,https://myhummusfit.com/,direct partnership outreach,55,active,Add to high-protein and Long Island meal-prep pages
ICON Meals,/reviews/icon-meals/,/go/icon-meals/,US,high protein meal prep,https://iconmeals.com/,direct partnership outreach,55,active,Add to custom meal-prep and bodybuilder pages
Inspired Go,/reviews/inspired-go/,/go/inspired-go/,Canada,prepared meals,https://inspiredgo.ca/,direct partnership outreach,55,active,Promote to Canada healthy prepared meal pages
Interfood,/reviews/interfood/,/go/interfood/,Hungary,prepared meals,https://www.interfood.hu/,direct partnership outreach,55,active,Add to Hungary daily menu pages
Ipsa Provisions,/reviews/ipsa-provisions/,/go/ipsa-provisions/,US,frozen prepared meals,https://eatipsa.com/,direct partnership outreach,55,active_region_check,Add to frozen prepared meal challenger pages with route caveat
Jess' Underground Kitchen,/reviews/jess-underground-kitchen/,/go/jess-underground-kitchen/,New Zealand,prepared meals,https://www.juk.co.nz/,direct partnership outreach,55,active,Add to New Zealand prepared meal challenger pages
Jow,/reviews/jow/,/go/jow/,France,grocery dinner delivery,https://jow.fr/,direct partnership outreach,55,active,Add to France grocery-dinner and recipe planning pages
Keep Light,/reviews/keep-light/,/go/keep-light/,Brazil,diet prepared meals,https://keeplight.com.br/,direct partnership outreach,55,active,Add to Brazil healthy prepared meal challenger pages
Kevin's Natural Foods,/reviews/kevin-s-natural-foods/,/go/kevin-s-natural-foods/,US,heat and eat meals,https://www.kevinsnaturalfoods.com/collections/heat-eat-entrees,direct partnership outreach,55,active,"Add to high-protein, keto, paleo, and heat-and-eat dinner pages"
Kitchen Daily,/reviews/kitchen-daily/,/go/kitchen-daily/,France,prepared meals,https://www.kitchen-daily.fr/,direct partnership outreach,55,active,Add to France fresh prepared-meal pages
Knoweats,/reviews/knoweats/,/go/knoweats/,Spain,prepared meals,https://knoweats.com/,direct partnership outreach,55,active,Add to Spain prepared-meal comparison pages
Kokkeloren,/reviews/kokkeloren/,/go/kokkeloren/,Norway,premium meal kit,https://kokkeloren.no/en,direct partnership outreach,55,active_region_check,Add to Norway premium meal-kit alternatives
Kurami,/reviews/kurami/,/go/kurami/,UK,premium prepared meals,https://kurami.co.uk/,direct partnership outreach,55,active_region_check,Add to UK premium wellness meal-delivery pages
La Belle Vie,/reviews/la-belle-vie/,/go/la-belle-vie/,france,grocery dinner delivery,https://www.labellevie.com/,direct partnership outreach,55,active,Add to France grocery-dinner pages
La Juiceria Grocer,/reviews/la-juiceria-grocer/,/go/la-juiceria-grocer/,Malaysia,high protein prepared meals,https://lajuiceria.com.my/,direct partnership outreach,55,active_delivery_partner_route,Add to Malaysia high-protein prepared meal alternatives
La Specialite,/reviews/la-specialite/,/go/la-specialite/,Chile,prepared meals,https://www.laspecialite.cl/,direct partnership outreach,55,active_region_check,Add to Chile prepared meal pages with regional caveat
Lean Bento,/reviews/lean-bento/,/go/lean-bento/,Singapore,high protein prepared meals,https://leanbento.com/,direct partnership outreach,55,active_region_check,Add to Singapore high-protein challenger pages with route caveat
Lean Cuisine,/reviews/lean-cuisine/,/go/lean-cuisine/,US,diet frozen meals,https://www.goodnes.com/lean-cuisine/,direct partnership outreach,55,active,Add to diet frozen meal and calorie-conscious pages
Les Commis,/reviews/les-commis/,/go/les-commis/,France,meal kit,https://lescommis.com/,direct partnership outreach,55,active,Research affiliate or direct partner path after domain is live.
Lite n Easy,/reviews/lite-n-easy/,/go/lite-n-easy/,Australia,prepared meals | diet prepared meals,https://www.liteneasy.com.au/,direct partnership outreach,55,active,Add to AU diet and prepared-meal comparisons
Little Spoon,/reviews/little-spoon/,/go/little-spoon/,US,kids and baby meals,https://www.littlespoon.com/,direct partnership outreach,55,active,"Add to US kids meal delivery, toddler meals, and family pages"
Locale,/reviews/locale/,/go/locale/,US,prepared meals,https://www.shoplocale.com/,direct partnership outreach,55,active_region_check,Add to California/regional prepared meal pages with delivery-area caveat
Loewenanteil,/reviews/loewenanteil/,/go/loewenanteil/,Germany,fitness prepared meals,https://www.loewenanteil.com/en-eu,direct partnership outreach,55,active,Research DTC partner path and local German wording before page polishing.
Low Calorie Saudi,/reviews/low-calorie-saudi/,/go/low-calorie-saudi/,Saudi Arabia,diet prepared meals,https://lowcalorie.sa/en/,direct partnership outreach,55,active_region_check,Add to Saudi low-calorie and healthy meal-plan pages
M&M Food Market,/reviews/mandm-food-market/,/go/mandm-food-market/,Canada,frozen prepared meals,https://www.mmfoodmarket.com/categories/prepared-meals,direct partnership outreach,55,active,Add to Canada frozen prepared meal and family dinner pages
M&S Cook Menu,/reviews/mands-cook-menu/,/go/mands-cook-menu/,UK,grocery ready meals,https://www.marksandspencer.com/food/l/ready-to-cook,direct partnership outreach,55,active,Add to UK supermarket dinner shortcut pages
Maaltijdservice.nl,/reviews/maaltijdservice-nl/,/go/maaltijdservice-nl/,Netherlands,senior prepared meals,https://www.maaltijdservice.nl/,direct partnership outreach,55,active,Add to Netherlands senior meal and prepared meal pages
Macrofoodz,/reviews/macrofoodz/,/go/macrofoodz/,Australia,prepared meals,https://macrofoodz.com.au/,direct partnership outreach,55,active,Add to Australia macro and ready-made meal pages
Magic Kitchen,/reviews/magic-kitchen/,/go/magic-kitchen/,US,frozen senior and special-diet meals,https://www.magickitchen.com/,direct partnership outreach,55,active,"Add to seniors, frozen meals, and special-diet pages"
Mana,/reviews/mana/,/go/mana/,Europe,complete nutrition meal replacement,https://drinkmana.com/,direct partnership outreach,55,active,Add to complete nutrition challenger pages
Manyar,/reviews/manyar/,/go/manyar/,Mexico,diet prepared meals,https://www.manyar.com.mx/,direct partnership outreach,55,active_region_check,Add to Mexico/CDMX diet meal delivery pages
Manzana Verde Colombia,/reviews/manzana-verde-colombia/,/go/manzana-verde-colombia/,Colombia,diet prepared meals,https://play.google.com/store/apps/details?id=la.manzana_verde_app,direct partnership outreach,55,active_app_route,Add to Colombia healthy meal delivery pages
Marie Callender's,/reviews/marie-callender-s/,/go/marie-callender-s/,US,comfort frozen meals,https://www.mariecallendersmeals.com/frozen-dinners,direct partnership outreach,55,active,Add to comfort frozen dinner and family-size meal pages
Marley Spoon Netherlands,/reviews/marley-spoon-netherlands/,/go/marley-spoon-netherlands/,Netherlands,meal kit,https://marleyspoon.nl/,direct partnership outreach,55,active,Promote to Netherlands meal-kit comparisons
Mathem,/reviews/mathem/,/go/mathem/,Sweden,grocery dinner delivery,https://www.mathem.se/,direct partnership outreach,55,active,Add to Sweden grocery-dinner pages
Matkomfort,/reviews/matkomfort/,/go/matkomfort/,sweden,meal kit,https://www.matkomfort.se/,direct partnership outreach,55,active,Manual official-page check before top placement
Meal Box,/reviews/meal-box/,/go/meal-box/,Turkey,prepared meals,https://www.mealbox.com.tr/,direct partnership outreach,55,active_b2b_consumer_mixed,Account for Turkey prepared meal demand with B2B caveat
Meal Prep Consciente,/reviews/meal-prep-consciente/,/go/meal-prep-consciente/,Colombia,diet prepared meals,https://mealprepconsciente.com/,direct partnership outreach,55,active_region_check,Add to Colombia Medellin meal-prep alternatives
Meal Village,/reviews/meal-village/,/go/meal-village/,US,prepared meals,https://www.mealvillage.com/,direct partnership outreach,55,active_region_check,Add to US regional prepared-meal pages with Chicago caveat
MealFix Canada,/reviews/mealfix-canada/,/go/mealfix-canada/,Canada,prepared meals,https://www.mealfixcanada.com/,direct partnership outreach,55,active,Add to Canada prepared meal challenger pages
MealPrep Baltic Estonia,/reviews/mealprep-baltic-estonia/,/go/mealprep-baltic-estonia/,Estonia,diet prepared meals,https://mealprep.global/,direct partnership outreach,55,active_region_check,Add to Estonia meal-prep alternatives
MealPro,/reviews/mealpro/,/go/mealpro/,US,fitness prepared meals,https://www.mealpro.net/,direct partnership outreach,55,active,Add to macro and fitness prepared meal pages
Mealthy HK,/reviews/mealthy-hk/,/go/mealthy-hk/,Hong Kong,high protein meal prep,https://mealthy.com.hk/,direct partnership outreach,55,active,Add to Hong Kong high-protein meal-plan pages
MegaFit Meals,/reviews/megafit-meals/,/go/megafit-meals/,US,high protein meal prep,https://megafitmeals.com/,direct partnership outreach,55,active,Add to US high-protein challenger comparisons
Menumat,/reviews/menumat/,/go/menumat/,Finland,frozen prepared meals,https://menumat.fi/en/front-page/,direct partnership outreach,55,active,Add to Finland frozen prepared-meal pages
MiCibo,/reviews/micibo/,/go/micibo/,Italy,prepared meals,https://www.micibo.it/,direct partnership outreach,55,active,Add to Italy prepared meal challenger pages
MightyMeals,/reviews/mightymeals/,/go/mightymeals/,US,prepared meals,https://www.mightymeals.com/,direct partnership outreach,55,active,Use with regional-service caveat and direct outreach
Mingu,/reviews/mingu/,/go/mingu/,Colombia,prepared meals,https://www.mingu.co/,direct partnership outreach,55,active_app_route,Add to Colombia app-led prepared meal alternatives
Mitsuboshi Farm,/reviews/mitsuboshi-farm/,/go/mitsuboshi-farm/,Japan,frozen prepared meals,https://mitsuboshifarm.jp/,direct partnership outreach,55,active,Add as Japan frozen prepared-meal anchor
ModifyHealth,/reviews/modifyhealth/,/go/modifyhealth/,US,medical diet meals,https://www.modifyhealth.com/,direct partnership outreach,55,active,Add to medical diet and low-FODMAP meal pages
Munch Thyme,/reviews/munch-thyme/,/go/munch-thyme/,US,premium prepared meals,https://munchthyme.com/,direct partnership outreach,55,active,Add to premium prepared meal pages
Muscle Fuel,/reviews/muscle-fuel/,/go/muscle-fuel/,New Zealand,high protein meal prep,https://www.musclefuel.co.nz/,direct partnership outreach,55,active_region_check,Add with active delivery caveat
Muscle Meals 2 Go,/reviews/muscle-meals-2-go/,/go/muscle-meals-2-go/,UK,high protein prepared meals,https://musclemeals2go.com/,direct partnership outreach,55,active,Add to UK high-protein challenger pages
Muscle Meals Direct,/reviews/muscle-meals-direct/,/go/muscle-meals-direct/,Australia,high protein meal prep,https://musclemealsdirect.com.au/,direct partnership outreach,55,active,Add to AU fitness prepared meal challenger pages
MuscleFood,/reviews/musclefood/,/go/musclefood/,UK,meal prep and grocery,https://www.musclefood.com/,direct partnership outreach,55,active,Use as UK protein grocery and prepared-meal hybrid
My Cooking Box,/reviews/my-cooking-box/,/go/my-cooking-box/,italy,meal kit,https://www.mycookingbox.com/,direct partnership outreach,55,active,Add to premium Italian meal-kit cluster
My Fit Foods,/reviews/my-fit-foods/,/go/my-fit-foods/,US,prepared meals,https://www.myfitfoods.com/,direct partnership outreach,55,active,Add to US value prepared-meal and fitness meal-prep pages
Myfitnesschef,/reviews/myfitnesschef/,/go/myfitnesschef/,Mexico,diet prepared meals,https://myfitnesschef.mx/home/,direct partnership outreach,55,active_region_check,Add to Mexico prepared and fitness meal pages
MyWay,/reviews/myway/,/go/myway/,Chile,prepared meals,https://myway.cl/,direct partnership outreach,55,active_region_check,Add to Chile prepared meal candidate pages
Nokasoul,/reviews/nokasoul/,/go/nokasoul/,Japan,premium prepared meals,https://www.nokasoul.com/,direct partnership outreach,55,active_region_check,Add to Tokyo premium prepared-meal alternatives
Nootric,/reviews/nootric/,/go/nootric/,Spain,diet prepared meals,https://www.nootric.es/,direct partnership outreach,55,active,Add to Spain diet meal and weight-loss pages
Nourish Meals,/reviews/nourish-meals/,/go/nourish-meals/,US,prepared meals,https://nourishmeals.com/,direct partnership outreach,55,active_region_check,Add to regional prepared meal pages with delivery-area caveat
Nourish'd,/reviews/nourish-d/,/go/nourish-d/,Australia,prepared meals,https://nourishd.com.au/,direct partnership outreach,55,active,Add to Australia prepared and healthy meal pages
Nurture Life,/reviews/nurture-life/,/go/nurture-life/,US,kids meals,https://www.nurturelife.com/,direct partnership outreach,55,active,Use as US kids meal delivery anchor
Nuthera,/reviews/nuthera/,/go/nuthera/,Philippines,diet prepared meals,https://nuthera.ph/,direct partnership outreach,55,active_region_check,Add to Philippines diet meal challenger pages
Nutre,/reviews/nutre/,/go/nutre/,US,prepared meals,https://www.gonutre.com/,direct partnership outreach,55,active,Add to regional US prepared meal pages
