"brand","slug","go_route","go_route_exists","review_route","review_route_exists","source_rows","countries","categories","affiliate_program_target","tracking_url_status","cash_route_status","next_money_action","source_next_action"
"Eatstro","eatstro","/go/eatstro/","yes","/reviews/eatstro/","yes","1","Ireland","meal kit","verify before monetization","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Use for alternatives intent only until active ordering is proven"
"EatTasty","eattasty","/go/eattasty/","yes","/reviews/eattasty/","yes","1","Portugal","prepared meals","not ready","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Create alternatives angle only, do not recommend as active"
"Eatto","eatto","/go/eatto/","yes","/reviews/eatto/","yes","1","Ireland","frozen prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote to Ireland frozen prepared meal pages"
"Ekomenu","ekomenu","/go/ekomenu/","yes","/reviews/ekomenu/","yes","1","Netherlands","organic meal kit","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Netherlands organic and vegan meal-kit pages"
"Epicured","epicured","/go/epicured/","yes","/reviews/epicured/","yes","1","US","medical diet meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Use as medical/specialist diet meal anchor"
"Essential Meal Delivery","essential-meal-delivery","/go/essential-meal-delivery/","yes","/reviews/essential-meal-delivery/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada regional prepared meal pages"
"Ethey","ethey","/go/ethey/","yes","/reviews/ethey/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote from candidate to Canada prepared meal pages"
"Ever Gourmet","ever-gourmet","/go/ever-gourmet/","yes","/reviews/ever-gourmet/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada prepared meal challenger pages with regional caveat"
"Evertaste","evertaste","/go/evertaste/","yes","/reviews/evertaste/","yes","1","Germany","frozen meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Germany frozen meal challenger pages"
"every","every","/go/every/","yes","/reviews/every/","yes","1","germany","frozen plant-based meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to vegan, frozen, and prepared-meal comparison sets"
"Every Foods","every-foods","/go/every-foods/","yes","/reviews/every-foods/","yes","2","Germany|Netherlands","plant-based frozen meals","needs_research","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Research affiliate or direct partner path after domain is live. | Research country coverage and affiliate/direct partner path."
"Every. Food","every-food","/go/every-food/","yes","/reviews/every-food/","yes","1","Germany","frozen plant-based meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Germany plant-based frozen meal pages"
"EveryFitDay","everyfitday","/go/everyfitday/","yes","/reviews/everyfitday/","yes","1","Germany","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add with delivery-area caveat"
"EveryPlate","everyplate","/go/everyplate/","yes","/reviews/everyplate/","yes","2","Global|US","budget meal kit","no|yes","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Expand cheap meal delivery and EveryPlate vs Dinnerly | Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
"EveryPlate Australia","everyplate-australia","/go/everyplate-australia/","yes","/reviews/everyplate-australia/","yes","1","Australia","budget meal kit","likely","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add AU cheap meal kit page"
"Evol","evol","/go/evol/","yes","/reviews/evol/","yes","1","US","frozen prepared meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to frozen bowl and burrito pages"
"Evolve Paleo Chef","evolve-paleo-chef","/go/evolve-paleo-chef/","yes","/reviews/evolve-paleo-chef/","yes","1","US","specialty prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Factor","factor","/go/factor/","yes","/reviews/factor/","yes","6","belgium|Germany|Global|Netherlands|sweden|US","prepared meals","affiliate network or direct partnership|needs_research|no|yes","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Belgium/Flanders prepared-meal comparisons and verify local checkout path | Create Sweden prepared-meals comparison placement | Keep as prepared-meal P0 and apply once live domain exists | Research affiliate or direct partner path after domain is live. | Research whether Factor Germany uses a separate affiliate program. | Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
"Factor Canada","factor-canada","/go/factor-canada/","yes","/reviews/factor-canada/","yes","1","Canada","prepared meals","yes","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada Factor prepared meal comparisons"
"Factor Meals Canada","factor-meals-canada","/go/factor-meals-canada/","yes","/reviews/factor-meals-canada/","yes","1","Canada","prepared meals","yes","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Canada-specific Factor route distinct from old landing page"
"Family Kitchen Cyprus","family-kitchen-cyprus","/go/family-kitchen-cyprus/","yes","/reviews/family-kitchen-cyprus/","yes","1","Cyprus","kids and family meal plans","direct partnership after consumer fit check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Cyprus family/kids meal-plan alternatives with catering caveat"
"FamilyChef Cyprus","familychef-cyprus","/go/familychef-cyprus/","yes","/reviews/familychef-cyprus/","yes","1","Cyprus","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Cyprus diet program pages"
"Farm Fresh To You","farm-fresh-to-you","/go/farm-fresh-to-you/","yes","/reviews/farm-fresh-to-you/","yes","1","US","produce box","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to produce box and grocery dinner pages with regional caveat"
"Farm to Fit","farm-to-fit","/go/farm-to-fit/","yes","/reviews/farm-to-fit/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US regional calorie-controlled meal pages"
"FarmboxRx","farmboxrx","/go/farmboxrx/","yes","/reviews/farmboxrx/","yes","1","US","grocery dinner delivery","direct partnership after consumer fit check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add with consumer-route caveat"
"Farmhouse Meals Ireland","farmhouse-meals-ireland","/go/farmhouse-meals-ireland/","yes","/reviews/farmhouse-meals-ireland/","yes","1","Ireland","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Farmy","farmy","/go/farmy/","yes","/reviews/farmy/","yes","1","Switzerland","grocery dinner delivery","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Switzerland grocery-dinner pages"
"Fed","fed","/go/fed/","yes","/reviews/fed/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Fed Fed Fed","fed-fed-fed","/go/fed-fed-fed/","yes","/reviews/fed-fed-fed/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada nutrition-focused prepared meal pages"
"FED New Zealand","fed-new-zealand","/go/fed-new-zealand/","yes","/reviews/fed-new-zealand/","yes","1","New Zealand","frozen prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to New Zealand frozen ready-meal and family dinner pages"
"FED.","fed","/go/fed/","yes","/reviews/fed/","yes","1","New Zealand","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to New Zealand prepared meal anchor set"
"Feed","feed","/go/feed/","yes","/reviews/feed/","yes","1","France","complete nutrition meal replacement","verify before monetization","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as French complete-food candidate with checkout caveat"
"Fete Up","fete-up","/go/fete-up/","yes","/reviews/fete-up/","yes","1","Hong Kong","prepared meals","direct partnership after meal-plan fit check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Hong Kong healthy prepared-meal alternatives"
"Field Doctor","field-doctor","/go/field-doctor/","yes","/reviews/field-doctor/","yes","1","UK","frozen diet prepared meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UK diet, frozen, and health-specific meal pages"
"FieldGoods","fieldgoods","/go/fieldgoods/","yes","/reviews/fieldgoods/","yes","1","UK","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UK frozen prepared meal and Potage-alternative pages"
"Fit & Fresh Meals","fit-and-fresh-meals","/go/fit-and-fresh-meals/","yes","/reviews/fit-and-fresh-meals/","yes","1","US","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to local diet meal-prep alternatives"
"Fit AF Nutrition","fit-af-nutrition","/go/fit-af-nutrition/","yes","/reviews/fit-af-nutrition/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US regional prepared meal alternatives"
"Fit Apetit","fit-apetit","/go/fit-apetit/","yes","/reviews/fit-apetit/","yes","1","Poland","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Poland diet catering challenger pages"
"Fit Chef Australia","fit-chef-australia","/go/fit-chef-australia/","yes","/reviews/fit-chef-australia/","yes","1","Australia","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to South Australia high-protein meal-prep alternatives"
"Fit Five Meals","fit-five-meals","/go/fit-five-meals/","yes","/reviews/fit-five-meals/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US regional prepared-meal alternatives"
"Fit Food Always","fit-food-always","/go/fit-food-always/","yes","/reviews/fit-food-always/","yes","1","Thailand","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Thailand high-protein meal-prep pages"
"Fit Food Canada","fit-food-canada","/go/fit-food-canada/","yes","/reviews/fit-food-canada/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Fit Food Cuisine","fit-food-cuisine","/go/fit-food-cuisine/","yes","/reviews/fit-food-cuisine/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to California regional prepared-meal alternatives"
"Fit Food Dublin","fit-food-dublin","/go/fit-food-dublin/","yes","/reviews/fit-food-dublin/","yes","1","Ireland","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"FIT FOOD HOME","fit-food-home","/go/fit-food-home/","yes","/reviews/fit-food-home/","yes","1","Japan","frozen prepared meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Japan frozen prepared meal pages"
"Fit Food Mexico","fit-food-mexico","/go/fit-food-mexico/","yes","/reviews/fit-food-mexico/","yes","1","Mexico","healthy meal delivery","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Mexico healthy prepared meal challenger pages"
"Fit Food Perth","fit-food-perth","/go/fit-food-perth/","yes","/reviews/fit-food-perth/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Fit Food Prep","fit-food-prep","/go/fit-food-prep/","yes","/reviews/fit-food-prep/","yes","1","US","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US regional high-protein meal-prep alternatives"
"Fit Food Way","fit-food-way","/go/fit-food-way/","yes","/reviews/fit-food-way/","yes","1","Romania","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Romania diet catering and high-protein pages"
"Fit Foods Ireland","fit-foods-ireland","/go/fit-foods-ireland/","yes","/reviews/fit-foods-ireland/","yes","1","Ireland","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Confirm delivery/order path and affiliate program before recommendation."
"Fit Fresh 417","fit-fresh-417","/go/fit-fresh-417/","yes","/reviews/fit-fresh-417/","yes","1","US","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Missouri high-protein meal-prep pages"
"Fit Fresh Fast","fit-fresh-fast","/go/fit-fresh-fast/","yes","/reviews/fit-fresh-fast/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US local prepared-meal alternatives"
"Fit Fuel UK","fit-fuel-uk","/go/fit-fuel-uk/","yes","/reviews/fit-fuel-uk/","yes","1","UK","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Fit Kitchen Canada","fit-kitchen-canada","/go/fit-kitchen-canada/","yes","/reviews/fit-kitchen-canada/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote to Canada prepared and fitness meal pages"
"Fit Kitchen Meal Prep","fit-kitchen-meal-prep","/go/fit-kitchen-meal-prep/","yes","/reviews/fit-kitchen-meal-prep/","yes","1","US","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Charlotte high-protein meal-prep pages"
"Fit Kitchen PH","fit-kitchen-ph","/go/fit-kitchen-ph/","yes","/reviews/fit-kitchen-ph/","yes","1","Philippines","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Philippines fitness meal-prep pages with route caveat"
"Fit Kitchen UK","fit-kitchen-uk","/go/fit-kitchen-uk/","yes","/reviews/fit-kitchen-uk/","yes","1","UK","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Fit Meals 4U","fit-meals-4u","/go/fit-meals-4u/","yes","/reviews/fit-meals-4u/","yes","1","US","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Las Vegas high-protein and custom meal-prep alternatives"
"Fit Meals Australia","fit-meals-australia","/go/fit-meals-australia/","yes","/reviews/fit-meals-australia/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Fit Panther","fit-panther","/go/fit-panther/","yes","/reviews/fit-panther/","yes","1","Bulgaria","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Bulgaria healthy prepared-meal anchor"
"Fit Prep","fit-prep","/go/fit-prep/","yes","/reviews/fit-prep/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US regional fit meal-prep alternatives"
"Fit2go Thailand","fit2go-thailand","/go/fit2go-thailand/","yes","/reviews/fit2go-thailand/","yes","1","Thailand","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Thailand high-protein meal-prep anchor"
"FitChef","fitchef","/go/fitchef/","yes","/reviews/fitchef/","yes","1","south-africa","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Lead South Africa prepared-meal comparison and outreach"
"FitChef Turkey","fitchef-turkey","/go/fitchef-turkey/","yes","/reviews/fitchef-turkey/","yes","1","Turkey","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Turkey diet meal challenger pages"
"Fitelo","fitelo","/go/fitelo/","yes","/reviews/fitelo/","yes","1","India","diet meal planning","not primary meal delivery","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Use only for diet-planning adjacent pages, not prepared meal delivery recommendations"
"fit-flavors","fit-flavors","/go/fit-flavors/","yes","/reviews/fit-flavors/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US regional prepared meal alternatives"
"Fitfood","fitfood","/go/fitfood/","yes","/reviews/fitfood/","yes","2","New Zealand|new-zealand","prepared meals","direct partnership|needs_research","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Research affiliate or direct partner contact. | Use as New Zealand prepared and high-protein anchor"
"FitFood Chile","fitfood-chile","/go/fitfood-chile/","yes","/reviews/fitfood-chile/","yes","1","Chile","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Chile diet meal delivery anchor"
"FitFood Manila","fitfood-manila","/go/fitfood-manila/","yes","/reviews/fitfood-manila/","yes","1","Philippines","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Philippines diet and keto meal-plan pages"
"FitFood Meal Prep DMV","fitfood-meal-prep-dmv","/go/fitfood-meal-prep-dmv/","yes","/reviews/fitfood-meal-prep-dmv/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to DC/Maryland/Virginia prepared-meal alternatives"
"Fitfood NZ","fitfood-nz","/go/fitfood-nz/","yes","/reviews/fitfood-nz/","yes","1","New Zealand","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote New Zealand Fitfood route if duplicate variant exists"
"FITfoodNJ","fitfoodnj","/go/fitfoodnj/","yes","/reviews/fitfoodnj/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US regional prepared-meal alternatives"
"FitFoodz South Africa","fitfoodz-south-africa","/go/fitfoodz-south-africa/","yes","/reviews/fitfoodz-south-africa/","yes","1","South Africa","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to South Africa weight-loss and macro prepared-meal pages"
"FitKitchen Czech Republic","fitkitchen-czech-republic","/go/fitkitchen-czech-republic/","yes","/reviews/fitkitchen-czech-republic/","yes","1","Czech Republic","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Czech local boxed diet alternatives"
"Fitlicious Meal Prep","fitlicious-meal-prep","/go/fitlicious-meal-prep/","yes","/reviews/fitlicious-meal-prep/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Los Angeles prepared-meal alternatives"
"Fitlife Foods","fitlife-foods","/go/fitlife-foods/","yes","/reviews/fitlife-foods/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote from candidate with regional availability caveat"
"Fitmeal Thailand","fitmeal-thailand","/go/fitmeal-thailand/","yes","/reviews/fitmeal-thailand/","yes","1","Thailand","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Thailand high-protein meal-prep pages"
"Fitmeals","fitmeals","/go/fitmeals/","yes","/reviews/fitmeals/","yes","1","india","meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to India fitness meal-plan comparison"
"Fitmeals India","fitmeals-india","/go/fitmeals-india/","yes","/reviews/fitmeals-india/","yes","1","India","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to India regional diet prepared meal pages"
"Fitness Kitchen LA","fitness-kitchen-la","/go/fitness-kitchen-la/","yes","/reviews/fitness-kitchen-la/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to LA prepared meal regional pages"
"Fitness Meals Greece","fitness-meals-greece","/go/fitness-meals-greece/","yes","/reviews/fitness-meals-greece/","yes","1","Greece","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Greece high-protein meal-prep pages"
"FITT Meals","fitt-meals","/go/fitt-meals/","yes","/reviews/fitt-meals/","yes","1","UAE","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UAE diet and prepared meal challenger pages"
"Fittery","fittery","/go/fittery/","yes","/reviews/fittery/","yes","1","hong-kong","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Find official web ordering route and add to Hong Kong challenger list"
"FitThree","fitthree","/go/fitthree/","yes","/reviews/fitthree/","yes","1","singapore","meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to fitness-focused Singapore shortlist"
"FlexPro Meals","flexpro-meals","/go/flexpro-meals/","yes","/reviews/flexpro-meals/","yes","1","US","fitness prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Use for US gym and bulk meal-prep pages"
"Fly By Jing","fly-by-jing","/go/fly-by-jing/","yes","/reviews/fly-by-jing/","yes","1","US","meal starter kits","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to meal starter and pantry dinner helper pages"
"FNF Meals","fnf-meals","/go/fnf-meals/","yes","/reviews/fnf-meals/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Long Island prepared-meal alternatives"
"Foober","foober","/go/foober/","yes","/reviews/foober/","yes","1","Australia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to AU keto, weight-loss, and prepared-meal pages"
"Food & Fit","food-and-fit","/go/food-and-fit/","yes","/reviews/food-and-fit/","yes","1","Mexico","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Mexico diet prepared meal challenger pages"
"Food & Trees for Africa Meals","food-and-trees-for-africa-meals","/go/food-and-trees-for-africa-meals/","yes","/reviews/food-and-trees-for-africa-meals/","yes","1","South Africa","non-commercial meal support","not ready","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Account for non-commercial food support, do not monetize"
"Food Affair Kenya","food-affair-kenya","/go/food-affair-kenya/","yes","/reviews/food-affair-kenya/","yes","1","Kenya","prepared meals","direct partnership after route check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add with social-route caveat until official checkout is verified"
"Food Darzee","food-darzee","/go/food-darzee/","yes","/reviews/food-darzee/","yes","1","india","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Lead India healthy meal-plan comparison and outreach"
"Food for Fitness Greece","food-for-fitness-greece","/go/food-for-fitness-greece/","yes","/reviews/food-for-fitness-greece/","yes","1","Greece","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Greece diet prepared meal pages"
"Food Revolution Hungary","food-revolution-hungary","/go/food-revolution-hungary/","yes","/reviews/food-revolution-hungary/","yes","1","Hungary","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Hungary premium prepared meal anchor"
"Food4Fitness Australia","food4fitness-australia","/go/food4fitness-australia/","yes","/reviews/food4fitness-australia/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Foodbag","foodbag","/go/foodbag/","yes","/reviews/foodbag/","yes","1","belgium","meal kit and ready meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Position as local Belgium alternative to HelloFresh and Marley Spoon"
"FoodChéri","foodch-ri","/go/foodch-ri/","yes","/reviews/foodch-ri/","yes","1","France","prepared meals","direct partnership after consumer-route check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Account for France prepared-meal demand with B2B/consumer caveat"
"FoodCourt","foodcourt","/go/foodcourt/","yes","/reviews/foodcourt/","yes","1","Nigeria","prepared meals marketplace","direct partnership after app route check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Nigeria app-led prepared meal marketplace pages"
