"page_type","primary_keyword","url","country","meal_type","partner_brand","monetization_status","current_status","priority","next_action","notes"
"comparison","Bargain Box vs Comme J'aime","https://www.everymealguide.com/vs/bargain-box-vs-comme-j-aime/","Global","brand-vs-brand","Bargain Box | Comme J'aime","affiliate-ready-after-approvals","needs head-to-head editorial pass","144","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bargain Box vs Dietbon","https://www.everymealguide.com/vs/bargain-box-vs-dietbon/","Global","brand-vs-brand","Bargain Box | Dietbon","affiliate-ready-after-approvals","needs head-to-head editorial pass","145","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bargain Box vs EatFit","https://www.everymealguide.com/vs/bargain-box-vs-eatfit/","Global","brand-vs-brand","Bargain Box | EatFit","affiliate-ready-after-approvals","needs head-to-head editorial pass","146","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bargain Box vs Factor","https://www.everymealguide.com/vs/bargain-box-vs-factor/","Global","brand-vs-brand","Bargain Box | Factor","affiliate-ready-after-approvals","needs head-to-head editorial pass","147","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bargain Box vs FitChef","https://www.everymealguide.com/vs/bargain-box-vs-fitchef/","Global","brand-vs-brand","Bargain Box | FitChef","affiliate-ready-after-approvals","needs head-to-head editorial pass","148","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bargain Box vs Fitfood","https://www.everymealguide.com/vs/bargain-box-vs-fitfood/","Global","brand-vs-brand","Bargain Box | Fitfood","affiliate-ready-after-approvals","needs head-to-head editorial pass","149","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bargain Box vs Food Darzee","https://www.everymealguide.com/vs/bargain-box-vs-food-darzee/","Global","brand-vs-brand","Bargain Box | Food Darzee","affiliate-ready-after-approvals","needs head-to-head editorial pass","150","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs Calo","https://www.everymealguide.com/vs/bofrost-vs-calo/","Global","brand-vs-brand","Bofrost | Calo","affiliate-ready-after-approvals","needs head-to-head editorial pass","151","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs Calori","https://www.everymealguide.com/vs/bofrost-vs-calori/","Global","brand-vs-brand","Bofrost | Calori","affiliate-ready-after-approvals","needs head-to-head editorial pass","152","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs Comme J'aime","https://www.everymealguide.com/vs/bofrost-vs-comme-j-aime/","Global","brand-vs-brand","Bofrost | Comme J'aime","affiliate-ready-after-approvals","needs head-to-head editorial pass","153","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs Dietbon","https://www.everymealguide.com/vs/bofrost-vs-dietbon/","Global","brand-vs-brand","Bofrost | Dietbon","affiliate-ready-after-approvals","needs head-to-head editorial pass","154","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs EatFit","https://www.everymealguide.com/vs/bofrost-vs-eatfit/","Global","brand-vs-brand","Bofrost | EatFit","affiliate-ready-after-approvals","needs head-to-head editorial pass","155","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs Factor","https://www.everymealguide.com/vs/bofrost-vs-factor/","Global","brand-vs-brand","Bofrost | Factor","affiliate-ready-after-approvals","needs head-to-head editorial pass","156","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs FitChef","https://www.everymealguide.com/vs/bofrost-vs-fitchef/","Global","brand-vs-brand","Bofrost | FitChef","affiliate-ready-after-approvals","needs head-to-head editorial pass","157","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs Fitfood","https://www.everymealguide.com/vs/bofrost-vs-fitfood/","Global","brand-vs-brand","Bofrost | Fitfood","affiliate-ready-after-approvals","needs head-to-head editorial pass","158","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Bofrost vs Food Darzee","https://www.everymealguide.com/vs/bofrost-vs-food-darzee/","Global","brand-vs-brand","Bofrost | Food Darzee","affiliate-ready-after-approvals","needs head-to-head editorial pass","159","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calo vs Calori","https://www.everymealguide.com/vs/calo-vs-calori/","Global","brand-vs-brand","Calo | Calori","affiliate-ready-after-approvals","needs head-to-head editorial pass","160","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calo vs Comme J'aime","https://www.everymealguide.com/vs/calo-vs-comme-j-aime/","Global","brand-vs-brand","Calo | Comme J'aime","affiliate-ready-after-approvals","needs head-to-head editorial pass","161","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calo vs Dietbon","https://www.everymealguide.com/vs/calo-vs-dietbon/","Global","brand-vs-brand","Calo | Dietbon","affiliate-ready-after-approvals","needs head-to-head editorial pass","162","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calo vs EatFit","https://www.everymealguide.com/vs/calo-vs-eatfit/","Global","brand-vs-brand","Calo | EatFit","affiliate-ready-after-approvals","needs head-to-head editorial pass","163","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calo vs Factor","https://www.everymealguide.com/vs/calo-vs-factor/","Global","brand-vs-brand","Calo | Factor","affiliate-ready-after-approvals","needs head-to-head editorial pass","164","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calo vs FitChef","https://www.everymealguide.com/vs/calo-vs-fitchef/","Global","brand-vs-brand","Calo | FitChef","affiliate-ready-after-approvals","needs head-to-head editorial pass","165","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calo vs Fitfood","https://www.everymealguide.com/vs/calo-vs-fitfood/","Global","brand-vs-brand","Calo | Fitfood","affiliate-ready-after-approvals","needs head-to-head editorial pass","166","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calo vs Food Darzee","https://www.everymealguide.com/vs/calo-vs-food-darzee/","Global","brand-vs-brand","Calo | Food Darzee","affiliate-ready-after-approvals","needs head-to-head editorial pass","167","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calori vs Comme J'aime","https://www.everymealguide.com/vs/calori-vs-comme-j-aime/","Global","brand-vs-brand","Calori | Comme J'aime","affiliate-ready-after-approvals","needs head-to-head editorial pass","168","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calori vs Dietbon","https://www.everymealguide.com/vs/calori-vs-dietbon/","Global","brand-vs-brand","Calori | Dietbon","affiliate-ready-after-approvals","needs head-to-head editorial pass","169","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calori vs EatFit","https://www.everymealguide.com/vs/calori-vs-eatfit/","Global","brand-vs-brand","Calori | EatFit","affiliate-ready-after-approvals","needs head-to-head editorial pass","170","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calori vs Factor","https://www.everymealguide.com/vs/calori-vs-factor/","Global","brand-vs-brand","Calori | Factor","affiliate-ready-after-approvals","needs head-to-head editorial pass","171","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calori vs FitChef","https://www.everymealguide.com/vs/calori-vs-fitchef/","Global","brand-vs-brand","Calori | FitChef","affiliate-ready-after-approvals","needs head-to-head editorial pass","172","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calori vs Fitfood","https://www.everymealguide.com/vs/calori-vs-fitfood/","Global","brand-vs-brand","Calori | Fitfood","affiliate-ready-after-approvals","needs head-to-head editorial pass","173","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Calori vs Food Darzee","https://www.everymealguide.com/vs/calori-vs-food-darzee/","Global","brand-vs-brand","Calori | Food Darzee","affiliate-ready-after-approvals","needs head-to-head editorial pass","174","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
"comparison","Comme J'aime vs Dietbon","https://www.everymealguide.com/vs/comme-j-aime-vs-dietbon/","Global","brand-vs-brand","Comme J'aime | Dietbon","affiliate-ready-after-approvals","needs head-to-head editorial pass","175","Add winner by budget, convenience, diet fit, country availability, and two tracked /go/ CTAs.","High-intent comparison page."
