country,country_slug,category_cluster,brand_a,brand_b,winner,url,status
Mexico,mexico,prepared meal delivery,Eat Fit Mexico,True Dose Mexico,Eat Fit Mexico,/vs/eat-fit-mexico-vs-true-dose-mexico-mexico-prepared-meal-delivery/,generated
United States,us,high-protein meal prep,Eat Macro Meals,EatFitz,EatFitz,/vs/eat-macro-meals-vs-eatfitz-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,Eat Macro Meals,Fit Food Prep,Fit Food Prep,/vs/eat-macro-meals-vs-fit-food-prep-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,Eat Macro Meals,Fit Fresh 417,Fit Fresh 417,/vs/eat-macro-meals-vs-fit-fresh-417-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,Eat Macro Meals,Fit Kitchen Meal Prep,Eat Macro Meals,/vs/eat-macro-meals-vs-fit-kitchen-meal-prep-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,Eat Macro Meals,Fit Meals 4U,Fit Meals 4U,/vs/eat-macro-meals-vs-fit-meals-4u-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,Eat Macro Meals,Foodie Fit,Foodie Fit,/vs/eat-macro-meals-vs-foodie-fit-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,Eat Macro Meals,Healthy And Fresh Meal Prep,Eat Macro Meals,/vs/eat-macro-meals-vs-healthy-and-fresh-meal-prep-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,Eat Macro Meals,Instant Muscle Meals,Eat Macro Meals,/vs/eat-macro-meals-vs-instant-muscle-meals-us-high-protein-meal-prep/,generated
India,india,healthy meal delivery,EatFit,Healthie,EatFit,/vs/eatfit-vs-healthie-india-healthy-meal-delivery/,generated
United States,us,high-protein meal prep,EatFitz,Fit Food Prep,EatFitz,/vs/eatfitz-vs-fit-food-prep-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,EatFitz,Fit Fresh 417,EatFitz,/vs/eatfitz-vs-fit-fresh-417-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,EatFitz,Fit Kitchen Meal Prep,EatFitz,/vs/eatfitz-vs-fit-kitchen-meal-prep-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,EatFitz,Fit Meals 4U,EatFitz,/vs/eatfitz-vs-fit-meals-4u-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,EatFitz,Foodie Fit,EatFitz,/vs/eatfitz-vs-foodie-fit-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,EatFitz,Healthy And Fresh Meal Prep,EatFitz,/vs/eatfitz-vs-healthy-and-fresh-meal-prep-us-high-protein-meal-prep/,generated
United States,us,high-protein meal prep,EatFitz,Instant Muscle Meals,EatFitz,/vs/eatfitz-vs-instant-muscle-meals-us-high-protein-meal-prep/,generated
United States,us,frozen meal delivery,EatFlavorly,Afia,EatFlavorly,/vs/eatflavorly-vs-afia-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Balanced Bites,EatFlavorly,/vs/eatflavorly-vs-balanced-bites-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Caulipower,EatFlavorly,/vs/eatflavorly-vs-caulipower-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Evol,Evol,/vs/eatflavorly-vs-evol-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Gardein,Gardein,/vs/eatflavorly-vs-gardein-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Good Food Made Simple,EatFlavorly,/vs/eatflavorly-vs-good-food-made-simple-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Ipsa Provisions,EatFlavorly,/vs/eatflavorly-vs-ipsa-provisions-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,P.F. Chang's Home Menu,EatFlavorly,/vs/eatflavorly-vs-p-f-chang-s-home-menu-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Sweet Earth,EatFlavorly,/vs/eatflavorly-vs-sweet-earth-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Top Chef Meals,EatFlavorly,/vs/eatflavorly-vs-top-chef-meals-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,EatFlavorly,Wildgrain,Wildgrain,/vs/eatflavorly-vs-wildgrain-us-frozen-meal-delivery/,generated
Hong Kong,hong-kong,prepared meal delivery,Eatology,Bain Marie,Eatology,/vs/eatology-vs-bain-marie-hong-kong-prepared-meal-delivery/,generated
Hong Kong,hong-kong,prepared meal delivery,Eatology,Cali-Mex,Eatology,/vs/eatology-vs-cali-mex-hong-kong-prepared-meal-delivery/,generated
Hong Kong,hong-kong,prepared meal delivery,Eatology,Fete Up,Eatology,/vs/eatology-vs-fete-up-hong-kong-prepared-meal-delivery/,generated
Hong Kong,hong-kong,prepared meal delivery,Eatology,Fittery,Fittery,/vs/eatology-vs-fittery-hong-kong-prepared-meal-delivery/,generated
Hong Kong,hong-kong,prepared meal delivery,Eatology,Nutrition Kitchen Hong Kong,Eatology,/vs/eatology-vs-nutrition-kitchen-hong-kong-hong-kong-prepared-meal-delivery/,generated
Spain,spain,prepared meal delivery,Eatsana,Knoweats,Eatsana,/vs/eatsana-vs-knoweats-spain-prepared-meal-delivery/,generated
Spain,spain,prepared meal delivery,Eatsana,Meal Box Spain,Eatsana,/vs/eatsana-vs-meal-box-spain-spain-prepared-meal-delivery/,generated
Spain,spain,prepared meal delivery,Eatsana,NoCocinoMas,Eatsana,/vs/eatsana-vs-nococinomas-spain-prepared-meal-delivery/,generated
Spain,spain,prepared meal delivery,Eatsana,Phosh Food,Eatsana,/vs/eatsana-vs-phosh-food-spain-prepared-meal-delivery/,generated
Spain,spain,prepared meal delivery,Eatsana,Take Eat Easy Spain,Eatsana,/vs/eatsana-vs-take-eat-easy-spain-spain-prepared-meal-delivery/,generated
Spain,spain,prepared meal delivery,Eatsana,Tappers,Eatsana,/vs/eatsana-vs-tappers-spain-prepared-meal-delivery/,generated
Ireland,ireland,meal kits,Eatstro,HelloFresh Ireland,Eatstro,/vs/eatstro-vs-hellofresh-ireland-ireland-meal-kits/,generated
Portugal,portugal,prepared meal delivery,EatTasty,Algarve Chef Delivered,EatTasty,/vs/eattasty-vs-algarve-chef-delivered-portugal-prepared-meal-delivery/,generated
Portugal,portugal,prepared meal delivery,EatTasty,Go Natural,EatTasty,/vs/eattasty-vs-go-natural-portugal-prepared-meal-delivery/,generated
Portugal,portugal,prepared meal delivery,EatTasty,MyChef Algarve,EatTasty,/vs/eattasty-vs-mychef-algarve-portugal-prepared-meal-delivery/,generated
Portugal,portugal,prepared meal delivery,EatTasty,The Revolution Food,EatTasty,/vs/eattasty-vs-the-revolution-food-portugal-prepared-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Atkins,Epicured,/vs/epicured-vs-atkins-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Clean Eats Meal Prep,Epicured,/vs/epicured-vs-clean-eats-meal-prep-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Fit & Fresh Meals,Epicured,/vs/epicured-vs-fit-and-fresh-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Fresh Fit Meals,Epicured,/vs/epicured-vs-fresh-fit-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Healthy Choice,Epicured,/vs/epicured-vs-healthy-choice-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Healthy Course Meals,Epicured,/vs/epicured-vs-healthy-course-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Healthy For Life Meals,Epicured,/vs/epicured-vs-healthy-for-life-meals-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Healthy Meals Kitchen,Epicured,/vs/epicured-vs-healthy-meals-kitchen-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Healthy Xpress,Epicured,/vs/epicured-vs-healthy-xpress-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Hers Meal Replacement,Epicured,/vs/epicured-vs-hers-meal-replacement-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Lean Cuisine,Epicured,/vs/epicured-vs-lean-cuisine-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,LifeChef,Epicured,/vs/epicured-vs-lifechef-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Magic Kitchen,Epicured,/vs/epicured-vs-magic-kitchen-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,ModifyHealth,Epicured,/vs/epicured-vs-modifyhealth-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,NutriFit,Epicured,/vs/epicured-vs-nutrifit-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,OPTAVIA,Epicured,/vs/epicured-vs-optavia-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Seattle Sutton's Healthy Eating,Epicured,/vs/epicured-vs-seattle-sutton-s-healthy-eating-us-diet-meal-delivery/,generated
United States,us,diet meal delivery,Epicured,Urban AIP,Epicured,/vs/epicured-vs-urban-aip-us-diet-meal-delivery/,generated
Canada,canada,prepared meal delivery,Essential Meal Delivery,Inspired Go Alberta,Inspired Go Alberta,/vs/essential-meal-delivery-vs-inspired-go-alberta-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Essential Meal Delivery,Meal Prep Ottawa,Meal Prep Ottawa,/vs/essential-meal-delivery-vs-meal-prep-ottawa-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Essential Meal Delivery,MealPro Canada,MealPro Canada,/vs/essential-meal-delivery-vs-mealpro-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Essential Meal Delivery,My Chef Meal Prep,My Chef Meal Prep,/vs/essential-meal-delivery-vs-my-chef-meal-prep-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Essential Meal Delivery,Ethey,/vs/ethey-vs-essential-meal-delivery-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Ever Gourmet,Ethey,/vs/ethey-vs-ever-gourmet-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Fed Fed Fed,Ethey,/vs/ethey-vs-fed-fed-fed-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Fit Kitchen Canada,Ethey,/vs/ethey-vs-fit-kitchen-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Goodfood Ready-to-Eat,Ethey,/vs/ethey-vs-goodfood-ready-to-eat-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Honey Bee Meals,Ethey,/vs/ethey-vs-honey-bee-meals-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Inspired Go Alberta,Ethey,/vs/ethey-vs-inspired-go-alberta-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Inspired Go,Ethey,/vs/ethey-vs-inspired-go-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Meal Prep Ottawa,Ethey,/vs/ethey-vs-meal-prep-ottawa-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,MealFix Canada,Ethey,/vs/ethey-vs-mealfix-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,MealPro Canada,Ethey,/vs/ethey-vs-mealpro-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,My Chef Meal Prep,Ethey,/vs/ethey-vs-my-chef-meal-prep-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Revive Superfoods Canada,Ethey,/vs/ethey-vs-revive-superfoods-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ethey,Yumba,Ethey,/vs/ethey-vs-yumba-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Essential Meal Delivery,Ever Gourmet,/vs/ever-gourmet-vs-essential-meal-delivery-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Fed Fed Fed,Fed Fed Fed,/vs/ever-gourmet-vs-fed-fed-fed-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Fit Kitchen Canada,Ever Gourmet,/vs/ever-gourmet-vs-fit-kitchen-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Goodfood Ready-to-Eat,Ever Gourmet,/vs/ever-gourmet-vs-goodfood-ready-to-eat-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Honey Bee Meals,Ever Gourmet,/vs/ever-gourmet-vs-honey-bee-meals-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Inspired Go Alberta,Ever Gourmet,/vs/ever-gourmet-vs-inspired-go-alberta-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Inspired Go,Inspired Go,/vs/ever-gourmet-vs-inspired-go-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Meal Prep Ottawa,Ever Gourmet,/vs/ever-gourmet-vs-meal-prep-ottawa-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,MealFix Canada,Ever Gourmet,/vs/ever-gourmet-vs-mealfix-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,MealPro Canada,Ever Gourmet,/vs/ever-gourmet-vs-mealpro-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,My Chef Meal Prep,Ever Gourmet,/vs/ever-gourmet-vs-my-chef-meal-prep-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Revive Superfoods Canada,Ever Gourmet,/vs/ever-gourmet-vs-revive-superfoods-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Ever Gourmet,Yumba,Yumba,/vs/ever-gourmet-vs-yumba-canada-prepared-meal-delivery/,generated
Germany,germany,frozen meal delivery,Evertaste,Every. Food,Evertaste,/vs/evertaste-vs-every-food-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,Evertaste,Hofmanns,Hofmanns,/vs/evertaste-vs-hofmanns-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,Every. Food,Hofmanns,Hofmanns,/vs/every-food-vs-hofmanns-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,Every Foods,Evertaste,Every Foods,/vs/every-foods-vs-evertaste-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,Every Foods,Every. Food,Every Foods,/vs/every-foods-vs-every-food-germany-frozen-meal-delivery/,generated
Netherlands,netherlands,frozen meal delivery,Every Foods,Freasy,Freasy,/vs/every-foods-vs-freasy-netherlands-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,Every Foods,Frosta,Frosta,/vs/every-foods-vs-frosta-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,Every Foods,Hofmanns,Every Foods,/vs/every-foods-vs-hofmanns-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,Every Foods,Juit,Juit,/vs/every-foods-vs-juit-germany-frozen-meal-delivery/,generated
Netherlands,netherlands,frozen meal delivery,Every Foods,MealHero Netherlands,Every Foods,/vs/every-foods-vs-mealhero-netherlands-netherlands-frozen-meal-delivery/,generated
Netherlands,netherlands,frozen meal delivery,Every Foods,Vegan Masters,Every Foods,/vs/every-foods-vs-vegan-masters-netherlands-frozen-meal-delivery/,generated
Netherlands,netherlands,frozen meal delivery,Every Foods,Vood,Vood,/vs/every-foods-vs-vood-netherlands-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,every,Evertaste,every,/vs/every-vs-evertaste-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,every,Every. Food,every,/vs/every-vs-every-food-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,every,Every Foods,every,/vs/every-vs-every-foods-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,every,Frosta,every,/vs/every-vs-frosta-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,every,Hofmanns,every,/vs/every-vs-hofmanns-germany-frozen-meal-delivery/,generated
Germany,germany,frozen meal delivery,every,Juit,Juit,/vs/every-vs-juit-germany-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Afia,Evol,/vs/evol-vs-afia-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Balanced Bites,Evol,/vs/evol-vs-balanced-bites-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Caulipower,Evol,/vs/evol-vs-caulipower-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Gardein,Evol,/vs/evol-vs-gardein-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Good Food Made Simple,Evol,/vs/evol-vs-good-food-made-simple-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Ipsa Provisions,Evol,/vs/evol-vs-ipsa-provisions-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,P.F. Chang's Home Menu,Evol,/vs/evol-vs-p-f-chang-s-home-menu-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Sweet Earth,Evol,/vs/evol-vs-sweet-earth-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Top Chef Meals,Evol,/vs/evol-vs-top-chef-meals-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Evol,Wildgrain,Evol,/vs/evol-vs-wildgrain-us-frozen-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Essential Meal Delivery,Factor Canada,/vs/factor-canada-vs-essential-meal-delivery-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Ethey,Factor Canada,/vs/factor-canada-vs-ethey-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Ever Gourmet,Factor Canada,/vs/factor-canada-vs-ever-gourmet-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Factor Meals Canada,Factor Canada,/vs/factor-canada-vs-factor-meals-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Fed Fed Fed,Factor Canada,/vs/factor-canada-vs-fed-fed-fed-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Fit Kitchen Canada,Factor Canada,/vs/factor-canada-vs-fit-kitchen-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Goodfood Ready-to-Eat,Factor Canada,/vs/factor-canada-vs-goodfood-ready-to-eat-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Honey Bee Meals,Factor Canada,/vs/factor-canada-vs-honey-bee-meals-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Inspired Go Alberta,Factor Canada,/vs/factor-canada-vs-inspired-go-alberta-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Inspired Go,Factor Canada,/vs/factor-canada-vs-inspired-go-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,LiveFit Foods,Factor Canada,/vs/factor-canada-vs-livefit-foods-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Meal Prep Ottawa,Factor Canada,/vs/factor-canada-vs-meal-prep-ottawa-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,MealFix Canada,Factor Canada,/vs/factor-canada-vs-mealfix-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,MealPro Canada,Factor Canada,/vs/factor-canada-vs-mealpro-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,My Chef Meal Prep,Factor Canada,/vs/factor-canada-vs-my-chef-meal-prep-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,OTR Meals,OTR Meals,/vs/factor-canada-vs-otr-meals-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Revive Superfoods Canada,Factor Canada,/vs/factor-canada-vs-revive-superfoods-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,WeCook,WeCook,/vs/factor-canada-vs-wecook-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Canada,Yumba,Factor Canada,/vs/factor-canada-vs-yumba-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Essential Meal Delivery,Factor Meals Canada,/vs/factor-meals-canada-vs-essential-meal-delivery-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Ethey,Factor Meals Canada,/vs/factor-meals-canada-vs-ethey-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Ever Gourmet,Factor Meals Canada,/vs/factor-meals-canada-vs-ever-gourmet-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Fed Fed Fed,Factor Meals Canada,/vs/factor-meals-canada-vs-fed-fed-fed-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Fit Kitchen Canada,Factor Meals Canada,/vs/factor-meals-canada-vs-fit-kitchen-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Goodfood Ready-to-Eat,Factor Meals Canada,/vs/factor-meals-canada-vs-goodfood-ready-to-eat-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Honey Bee Meals,Factor Meals Canada,/vs/factor-meals-canada-vs-honey-bee-meals-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Inspired Go Alberta,Factor Meals Canada,/vs/factor-meals-canada-vs-inspired-go-alberta-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Inspired Go,Factor Meals Canada,/vs/factor-meals-canada-vs-inspired-go-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,LiveFit Foods,LiveFit Foods,/vs/factor-meals-canada-vs-livefit-foods-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Meal Prep Ottawa,Factor Meals Canada,/vs/factor-meals-canada-vs-meal-prep-ottawa-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,MealFix Canada,Factor Meals Canada,/vs/factor-meals-canada-vs-mealfix-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,MealPro Canada,Factor Meals Canada,/vs/factor-meals-canada-vs-mealpro-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,My Chef Meal Prep,Factor Meals Canada,/vs/factor-meals-canada-vs-my-chef-meal-prep-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,OTR Meals,OTR Meals,/vs/factor-meals-canada-vs-otr-meals-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Revive Superfoods Canada,Factor Meals Canada,/vs/factor-meals-canada-vs-revive-superfoods-canada-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,WeCook,WeCook,/vs/factor-meals-canada-vs-wecook-canada-prepared-meal-delivery/,generated
Canada,canada,prepared meal delivery,Factor Meals Canada,Yumba,Factor Meals Canada,/vs/factor-meals-canada-vs-yumba-canada-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Catered Fit,Factor,/vs/factor-vs-catered-fit-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Clean Eatz Kitchen,Factor,/vs/factor-vs-clean-eatz-kitchen-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Eat Clean Bro,Factor,/vs/factor-vs-eat-clean-bro-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Farm to Fit,Factor,/vs/factor-vs-farm-to-fit-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,fit-flavors,Factor,/vs/factor-vs-fit-flavors-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Fitlife Foods,Factor,/vs/factor-vs-fitlife-foods-us-prepared-meal-delivery/,generated
Belgium,belgium,prepared meal delivery,Factor,Foodmaker,Factor,/vs/factor-vs-foodmaker-belgium-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Forkful,Factor,/vs/factor-vs-forkful-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Fresh Meal Plan,Factor,/vs/factor-vs-fresh-meal-plan-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Fresh N Fit Cuisine,Factor,/vs/factor-vs-fresh-n-fit-cuisine-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Front Porch Pantry,Factor,/vs/factor-vs-front-porch-pantry-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Gardencup,Factor,/vs/factor-vs-gardencup-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Healthy Meals Direct,Factor,/vs/factor-vs-healthy-meals-direct-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Locale,Factor,/vs/factor-vs-locale-us-prepared-meal-delivery/,generated
Netherlands,netherlands,prepared meal delivery,Factor,Maaltijdservice.nl,Factor,/vs/factor-vs-maaltijdservice-nl-netherlands-prepared-meal-delivery/,generated
Netherlands,netherlands,prepared meal delivery,Factor,MarleenKookt,Factor,/vs/factor-vs-marleenkookt-netherlands-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Metabolic Meals,Factor,/vs/factor-vs-metabolic-meals-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Sakara,Factor,/vs/factor-vs-sakara-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Shef,Factor,/vs/factor-vs-shef-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Tempo by Home Chef,Factor,/vs/factor-vs-tempo-by-home-chef-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Territory Foods,Factor,/vs/factor-vs-territory-foods-us-prepared-meal-delivery/,generated
United States,us,prepared meal delivery,Factor,Thistle,Factor,/vs/factor-vs-thistle-us-prepared-meal-delivery/,generated
Netherlands,netherlands,prepared meal delivery,Factor,Uitgekookt,Factor,/vs/factor-vs-uitgekookt-netherlands-prepared-meal-delivery/,generated
Netherlands,netherlands,prepared meal delivery,Factor,Vers aan Tafel,Factor,/vs/factor-vs-vers-aan-tafel-netherlands-prepared-meal-delivery/,generated
United States,us,produce box,Farm Fresh To You,Full Circle,Farm Fresh To You,/vs/farm-fresh-to-you-vs-full-circle-us-produce-box/,generated
United States,us,produce box,Farm Fresh To You,Hungry Harvest,Farm Fresh To You,/vs/farm-fresh-to-you-vs-hungry-harvest-us-produce-box/,generated
United States,us,prepared meal delivery,Farm to Fit,fit-flavors,Farm to Fit,/vs/farm-to-fit-vs-fit-flavors-us-prepared-meal-delivery/,generated
